State,2014_x,2015_x,2016_x,2017,2013_x,2014_y,2015_y,2016_y,2012_x,2013_y,2014_x,2015,2011_x,2012_y,2013_x,2014_y,2010_x,2011_y,2012_x,2013_y,2009_x,2010_y,2011_x,2012_y,2008_x,2009_y,2010_x,2011_y,2007_x,2008_y,2009_x,2010_y,2006_x,2007_y,2008_x,2009_y,2005_x,2006_y,2007_x,2008_y,2004_x,2005_y,2006_x,2007_y,2003_x,2004_y,2005_x,2006_y,2002_x,2003_y,2004_x,2005_y,2001_x,2002_y,2003_x,2004_y,2000,2001_y,2002,2003_y
Mississippi,6,4,2,8,6,7,4,2,6,6,7,4,2,6,6,7,5,2,6,6,6,5,2,6,4,6,5,2,6,4,6,5,4,6,4,6,8,4,6,4,6,8,4,6,2,6,8,4,10,2,6,8,11,10,2,6,2,11,10,2
Missouri,7,7,4,9,4,7,7,4,6,4,7,7,6,6,4,7,8,6,6,4,11,8,6,6,9,11,8,6,5,9,11,8,12,5,9,11,4,12,5,9,8,4,12,5,11,8,4,12,5,11,8,4,12,5,11,8,11,12,5,11
Montana,2,1,2,2,1,2,1,3,2,1,2,1,3,2,1,2,2,3,2,1,3,2,3,2,2,3,2,3,1,2,3,2,4,1,2,3,6,4,1,2,2,6,4,1,2,2,6,4,3,2,2,6,2,3,2,2,2,2,3,2
Nebraska,1,.,4,2,1,1,.,4,4,1,1,.,1,4,1,1,.,1,4,1,3,.,1,4,1,3,.,1,.,1,3,.,3,.,1,3,5,3,.,1,3,5,3,.,3,3,5,3,3,3,3,5,4,3,3,3,1,4,3,3
Nevada,6,2,2,2,2,6,2,3,2,2,6,2,2,2,2,6,4,2,2,2,.,4,2,2,4,.,4,2,4,4,.,4,6,4,4,.,4,6,4,4,3,4,6,4,5,3,4,6,3,5,3,4,3,3,5,3,1,3,3,5
New Hampshire,2,.,1,.,.,2,.,1,.,.,2,.,1,.,.,2,.,1,.,.,.,.,1,.,1,.,.,1,.,1,.,.,.,.,1,.,.,.,.,1,nodata,nodata,nodata,nodata,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1
New Jersey,14,19,11,21,14,15,22,13,4,14,15,22,16,4,14,15,17,16,4,14,19,17,16,4,16,19,17,16,13,16,19,17,10,13,16,19,13,10,13,16,15,13,10,13,12,15,13,10,18,12,15,13,29,18,12,15,21,29,18,12
New Mexico,5,3,2,1,12,5,3,2,1,12,5,3,9,1,12,5,8,9,1,12,10,8,9,1,11,10,8,9,8,11,10,8,4,8,11,10,8,4,8,11,10,8,4,8,8,10,8,4,10,8,10,8,8,10,8,10,4,8,10,8
New York,17,18,25,17,15,18,22,28,21,15,18,22,15,21,15,18,20,15,21,15,18,20,15,21,17,18,20,15,18,17,18,20,9,18,17,18,14,9,18,17,14,14,9,18,19,14,14,9,23,19,14,14,18,23,19,14,24,18,23,19
North Carolina,17,13,22,18,17,19,13,23,14,17,19,13,11,14,17,19,18,11,14,17,15,18,11,14,17,15,18,11,21,17,15,18,21,21,17,15,18,21,21,17,20,18,21,21,17,20,18,21,20,17,20,18,19,20,17,20,10,19,20,17
