,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,," 92,450 "," 69,011 "," 8,084 "," 229,028 "," 34,332 "," 35,420 "," 1,856 "," 120,828 "," 41,903 "," 40,436 "," 1,131 "," 86,279 "," 8,845 "," 8,336 ", 913 ," 22,731 "," 177,530 "," 153,203 "," 11,984 "," 458,866 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 115 , 59 , D , 303 , -   , D , -   , D , D , -   , -   , D , -   , D , -   , 10 , 117 , 63 , D , 319 ,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,555 "," 1,232 ", 149 ," 2,923 ", -   , 13 , D , 20 , 112 , 58 , D , 159 , 19 , 30 , D , 51 ," 1,686 "," 1,333 ", 163 ," 3,153 ",,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 468 , 733 , 50 ," 1,202 ", -   , D , -   , D , D , 425 , D , 418 , D , D , D , D , 474 ," 1,162 ", 58 ," 1,629 ",,,,,,,,,,,,,,,,,,,,,
