,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,," 83,464 "," 64,192 "," 8,353 "," 247,062 "," 30,745 "," 20,798 "," 1,882 "," 129,424 "," 44,233 "," 38,279 "," 1,244 "," 90,968 "," 8,088 "," 6,615 "," 1,397 "," 22,650 "," 166,530 "," 129,884 "," 12,876 "," 490,104 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 1,663 ", 554 , 121 ," 5,088 ", -   , 31 , D , 235 , 29 , 24 , D , 182 , 29 , 17 , 53 , 375 ," 1,721 ", 626 , 188 ," 5,880 ",,,,,,,,,,,,,,,,,,,,,
 Florida ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 779 , 816 , 89 ," 2,134 ", -   , 19 , -   , 19 ," 3,883 "," 1,162 ", 106 ," 4,771 ", D , D , -   , 10 ," 4,664 "," 1,999 ", 195 ," 6,934 ",,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 645 , 744 , 83 ," 1,185 ", -   , 15 , -   , 24 , 199 , 54 , D , 299 , D , D , -   , 23 , 846 , 818 , 89 ," 1,531 ",,,,,,,,,,,,,,,,,,,,,
, Kendall , KND , 642 , 262 , 64 ," 2,272 ", -   , 11 , D , 17 ," 3,992 ", 492 , 66 ," 5,629 ", -   , 10 , D , 18 ," 4,634 ", 775 , 133 ," 7,936 ",,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ," 1,182 ", 757 , 123 ," 4,376 ", -   , D , D , 21 ," 2,453 ", 328 , 51 ," 4,192 ", -   , D , D , 12 ," 3,635 "," 1,091 ", 177 ," 8,601 ",,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM , 124 , D , D ," 1,299 ", -   , -   , -   , D , 259 , 16 , -   ," 1,090 ", D , -   , -   , 14 , 384 , 21 , D ," 2,408 ",,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,650 ", 611 , 163 ," 5,526 ", -   , D , D , 65 , 619 , 222 , 12 ," 1,054 ", D , 16 , D , 60 ," 2,274 ", 857 , 183 ," 6,705 ",,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,366 ", 849 , 155 ," 3,801 ", -   , 14 , -   , 21 , 435 , 198 , 27 , 871 , D , 17 , D , D ," 1,804 "," 1,078 ", 183 ," 4,700 ",,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ," 1,148 ", 717 , 138 ," 3,296 ", -   , D , D , 29 ," 1,773 ", 287 , 46 ," 2,323 ", D , 16 , D , 88 ," 2,929 "," 1,027 ", 190 ," 5,736 ",,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ," 1,032 "," 1,058 ", 224 ," 2,182 ", -   , 15 , D , 25 , 658 , 188 , 15 , 905 , D , 98 , D , 23 ," 1,694 "," 1,359 ", 254 ," 3,135 ",,,,,,,,,,,,,,,,,,,,,
 Georgia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ," 2,817 "," 2,656 ", 273 ," 5,963 ", -   , 86 , D , 158 , 108 , 157 , D ," 1,091 ", 16 , 74 , 16 , 50 ," 2,941 "," 2,973 ", 295 ," 7,262 ",,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW , 368 , 350 , 38 , 851 , -   , D , -   , 16 , -   , 12 , -   , 103 , D , D , D , 10 , 369 , 370 , 39 , 980 ,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI , 151 , 644 , 20 , 355 , -   , -   , -   , D , D , 340 , D , 36 , D , D , -   , D , 159 , 985 , 22 , 401 ,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ," 3,338 "," 2,344 ", 293 ," 9,439 ", -   , 39 , 11 , 157 , 69 , 17 , -   , 285 , D , 19 , 15 , 43 ," 3,416 "," 2,419 ", 319 ," 9,924 ",,,,,,,,,,,,,,,,,,,,,
 Indiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP , 603 , 481 , 73 ," 1,176 ", -   , D , -   , 21 , 51 , 52 , 10 , 97 , D , D , D , 19 , 656 , 541 , 86 ," 1,313 ",,,,,,,,,,,,,,,,,,,,,
 Iowa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM , 196 , 61 , 10 , 763 , -   , D , -   , 12 , 10 , D , D , 83 , D , D , -   , 15 , 209 , 72 , 12 , 873 ,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC , 211 , 157 , 16 , 552 , -   , -   , D , D , 15 , 18 , D , 74 , D , -   , D , 10 , 228 , 175 , 25 , 640 ,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU , 270 , 207 , 35 , 624 , -   , D , D , 12 , 364 , 59 , D , 400 , -   , 10 , D , 30 , 634 , 284 , 53 ," 1,066 ",,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL , 535 , 392 , 26 ," 1,725 ", -   , D , -   , 14 , 64 , 55 , -   , 230 , 11 , 29 , D , 75 , 610 , 484 , 34 ," 2,044 ",,,,,,,,,,,,,,,,,,,,,
 Maine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM , 116 , 532 , D , 272 , -   , D , -   , D , 30 , 348 , D , 78 , D , 11 , -   , D , 148 , 896 , 10 , 356 ,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ," 1,776 ", 894 , 182 ," 5,858 ", -   , 70 , D , 217 , 33 , 16 , D , 205 , 21 , 113 , 30 , 99 ," 1,830 "," 1,093 ", 219 ," 6,379 ",,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ," 1,906 "," 1,595 ", 201 ," 4,670 ", -   , 25 , D , 111 , 12 , 117 , D , 143 , D , 31 , 13 , 299 ," 1,926 "," 1,768 ", 220 ," 5,223 ",,,,,,,,,,,,,,,,,,,,,
, Lawrence , LAW , 626 , 528 , 95 ," 1,330 ", -   , 12 , D , 16 , D , D , D , 39 , D , 11 , D , 75 , 638 , 557 , 106 ," 1,460 ",,,,,,,,,,,,,,,,,,,,,
 Michigan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ," 1,067 "," 1,232 ", 148 ," 1,950 ", -   , 14 , D , 31 , 59 , 66 , D , 151 , 11 , 13 , D , 26 ," 1,137 "," 1,325 ", 159 ," 2,158 ",,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM , 929 , 97 , 44 ," 3,130 ", -   , -   , -   , 47 , 71 , D , D , 191 , D , D , D , 95 ," 1,002 ", 109 , 49 ," 3,463 ",,,,,,,,,,,,,,,,,,,,,
 Missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN , 574 , 776 , 29 ," 1,127 ", -   , 25 , -   , 16 , 29 , 177 , D , 79 , D , 12 , D , 12 , 609 , 990 , 32 ," 1,234 ",,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 275 , 49 , D ," 1,283 ", -   , D , -   , 29 , D , D , -   , 46 , D , D , D , 39 , 285 , 55 , D ," 1,397 ",,,,,,,,,,,,,,,,,,,,,
 Montana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 54 , 288 , D , 339 , -   , -   , -   , D , -   , 163 , D , 112 , D , D , D , -   , 55 , 452 , 10 , 455 ,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 226 , 523 , 75 ," 1,219 ", -   , 10 , -   , D , 217 , 144 , 14 , 475 , D , 32 , D , 33 , 446 , 709 , 92 ," 1,732 ",,,,,,,,,,,,,,,,,,,,,
 Nevada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ," 1,014 ", 294 , 94 ," 3,303 ", -   , D , D , 18 , 531 , 34 , D , 770 , D , 14 , D , 53 ," 1,546 ", 350 , 101 ," 4,144 ",,,,,,,,,,,,,,,,,,,,,
, Reno  , REN , 169 , 512 , 38 , 809 , -   , -   , -   , D , D , 205 , D , 388 , -   , -   , -   , D , 170 , 717 , 40 ," 1,201 ",,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 143 , 137 , 12 , 290 , -   , -   , -   , 12 , D , D , D , 41 , -   , D , -   , D , 146 , 151 , 13 , 347 ,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 719 , 898 , 72 ," 1,567 ", -   , 17 , D , 62 , D , 370 , D , 76 , D , D , D , D , 727 ," 1,287 ", 82 ," 1,714 ",,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 3,323 "," 2,710 ", 292 ," 12,024 ", -   , 35 , 16 , 255 , 206 , 880 , 18 ," 1,713 ", 21 , 59 , 26 , 85 ," 3,550 "," 3,684 ", 352 ," 14,077 ",,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 277 , 356 , 24 , 625 , -   , D , -   , D , 41 , 134 , D , 37 , D , 14 , D , D , 320 , 512 , 32 , 670 ,,,,,,,,,,,,,,,,,,,,,
 New York ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 181 , 90 , 19 , 456 , -   , D , D , 18 , D , D , -   , 27 , -   , D , -   , D , 182 , 97 , 26 , 507 ,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 313 , 478 , 31 , 720 , -   , D , -   , 37 , 72 , 230 , 10 , 195 , 17 , D , -   , 23 , 402 , 719 , 41 , 975 ,,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 2,060 ", 975 , 159 ," 8,464 ", -   , 26 , D , 157 , 14 , 64 , -   , 171 , 28 , 71 , 31 , 177 ," 2,102 "," 1,136 ", 195 ," 8,969 ",,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 5,625 "," 2,883 ", 577 ," 19,585 ", -   , 78 , 12 , 300 , 37 , 357 , 15 , 795 , 55 , 392 , 47 , 242 ," 5,717 "," 3,710 ", 651 ," 20,922 ",,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ," 1,784 ", 988 , 234 ," 6,431 ", -   , 34 , 14 , 121 , D , 158 , 15 , 258 , 25 , 66 , 40 , 142 ," 1,818 "," 1,246 ", 303 ," 6,952 ",,,,,,,,,,,,,,,,,,,,,
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT , 763 , 443 , 57 ," 1,880 ", -   , D , -   , 17 , 78 , 137 , D , 182 , D , 11 , D , 53 , 847 , 593 , 64 ," 2,132 ",,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL , 780 , 898 , 86 ," 1,405 ", -   , 15 , D , 29 , 52 , 345 , D , 134 , 10 , 12 , D , 60 , 842 ," 1,270 ", 100 ," 1,628 ",,,,,,,,,,,,,,,,,,,,,
 Ohio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN , 269 , 232 , 28 , 546 , -   , D , -   , D , D , 34 , -   , 15 , D , 10 , D , 12 , 276 , 279 , 32 , 581 ,,,,,,,,,,,,,,,,,,,,,
, Cleveland  , CLE , 345 , 297 , 42 , 675 , -   , D , -   , D , D , 15 , D , 27 , D , D , D , 14 , 355 , 326 , 44 , 719 ,,,,,,,,,,,,,,,,,,,,,
, Columbus , CLM , 336 , 296 , 28 , 617 , -   , D , D , D , D , 12 , D , 23 , D , D , -   , 29 , 352 , 319 , 35 , 677 ,,,,,,,,,,,,,,,,,,,,,
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
