"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"October 1 - December 31, 2013",, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
USCIS Field Office or Service Center Location,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"68,185","60,495","6,936","156,013","30,568","31,702","1,824","117,892","39,089","31,289","1,156","73,674","6,511","4,617",853,"17,573","144,353","128,103","10,769","365,152"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
, Louisville  ,265,207,31,436, -   , D , D , D ,168,185, D ,295, D , D , D , D ,434,403,43,735
 Louisiana ,,,,,,,,,,,,,,,,,,,,,
, New Orleans  ,424,275,61,"1,130", -   ,11, D ,12,54,29, D ,201,11,11, D , D ,489,326,64,"1,352"
 Maine ,,,,,,,,,,,,,,,,,,,,,
, Portland  ,89,84, D ,151, -   , D , -   , -   , -   , D , D , D , D , D , D , D ,93,92, D ,161
 Maryland ,,,,,,,,,,,,,,,,,,,,,
, Baltimore  ,"1,470","1,680",178,"3,730", -   , D , D ,70,19, D , D ,104,33,23, D ,114,"1,522","1,707",194,"4,018"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,
, Boston  ,"1,419","1,378",122,"2,923", -   ,57, D ,65,10,40, D ,54,25,52, D ,81,"1,454","1,527",134,"3,123"
, Lawrence ,513,471,42,"1,098", -   ,10, -   , D , D ,10, D ,29, D , D , D ,27,522,495,44,"1,160"
 Michigan ,,,,,,,,,,,,,,,,,,,,,
, Detroit  ,881,691,71,"1,333", -   ,20, D ,34,24,50, D ,77,20,27, D ,64,925,788,79,"1,508"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,
, St. Paul  ,807,657,57,"1,623", -   ,19, D ,18,41,39, D ,134,20,11, D ,54,868,726,68,"1,829"
 Missouri ,,,,,,,,,,,,,,,,,,,,,
, Kansas City  ,382,396,46,753, -   ,43, -   , D ,31,28, D ,59, D , D , D ,11,421,472,53,829
, St. Louis  ,261,203,27,551, -   , D , D ,31, D , D , D ,19, D , D , D , D ,271,211,36,603
 Montana ,,,,,,,,,,,,,,,,,,,,,
, Helena  ,57,378, D ,141, -   , -   , -   , -   , -   ,15, -   , D , D , -   , -   , D ,59,393, D ,150
 Nebraska ,,,,,,,,,,,,,,,,,,,,,
, Omaha  ,240,197,14,384, -   , D , D , D ,69,67,14,225, D , D , D ,18,316,278,30,629
 Nevada ,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  ,742,735,93,"1,400", -   , D , D ,14,182,184,16,497, D ,16, D ,23,926,942,117,"1,934"
, Reno  ,119,112,17,184, -   , D , -   , -   , D , D , D , D , D , -   , -   , D ,124,118,19,195
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,
, Manchester  ,137,155,11,208, -   , D , -   , D , D , D , -   , D , D , D , D , D ,144,171,12,227
 New Jersey ,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel ,546,490,84,"1,142", -   ,19, D ,46, D , D , -   ,29, D , D , -   ,32,557,523,90,"1,249"
, Newark  ,"2,718","2,322",324,"6,140", -   ,135,25,160,163,113,12,492,40,28, D ,240,"2,921","2,598",366,"7,032"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  ,233,169,25,441, -   , D , -   , D ,30,28, D ,65, D , D , D ,19,266,209,27,528
 New York ,,,,,,,,,,,,,,,,,,,,,
, Albany  ,176,153, D ,367, -   , D , -   , D , D , -   , -   ,20, -   , D , -   , D ,177,158, D ,398
, Buffalo  ,272,255,11,528, -   , D , -   , D ,68,130, D ,186, D ,12, D ,14,343,401,15,736
, Long Island ,"1,652","1,730",146,"4,394", -   ,59, D ,102, D ,39, D ,61,59,119,13,434,"1,719","1,947",166,"4,991"
, New York  ,"4,908","4,699",662,"12,590", -   ,106,23,173,32,97,31,370,70,316,60,"1,353","5,010","5,218",776,"14,486"
, Queens ,"1,721","2,127",205,"4,875", -   ,61, D ,143, D ,67,10,343,23,29, D ,289,"1,746","2,284",231,"5,650"
 North Carolina ,,,,,,,,,,,,,,,,,,,,,
, Charlotte  ,571,526,59,963, -   ,12, -   ,16,21, D , D ,84, D , D , -   ,28,601,549,62,"1,091"
, Raleigh ,534,531,61,"1,125", -   , D , D , D ,20, D , -   ,24, D , D , -   ,20,557,547,62,"1,176"
 Ohio ,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  ,199,179,19,365, -   , D , -   ,15, D , D , -   , D , D , D , -   , D ,206,194,19,393
, Cleveland  ,313,311,25,549, -   ,22, D , D ,12,10, D ,25, D , D , -   , D ,331,349,27,586
, Columbus ,273,331,64,461, -   , D , -   , D ,20,30, D ,41,11, D , -   , D ,304,367,73,518
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  ,381,334,31,988, -   , D , D ,38, D ,17, D ,23, D , D , -   ,28,394,364,33,"1,077"
 Oregon ,,,,,,,,,,,,,,,,,,,,,
