 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
, Imperial , IMP ,130,189,11,264, -   , -   , -   , -   , D ,75, D ,49, D , -   , -   , D ,133,264,13,316
, Los Angeles  , LOS ,"1,997","2,131",241,"4,880", -   ,55, D ,90,31,189,13,512,39,110, D ,147,"2,067","2,485",264,"5,629"
, Los Angeles County  , LAC ,"2,043","1,684",306,"5,641", -   ,34, D ,73,23,157, D ,206,21,76,20,87,"2,087","1,951",338,"6,007"
, Sacramento  , SAC ,905,973,96,"1,955", -   , D , D , D , D ,217, D ,356, -   ,10, D ,11,910,"1,201",107,"2,329"
, San Bernardino , SBD ,"1,693","1,321",182,"5,050", -   ,29, D ,33,12,142, D ,144, D ,41,10,35,"1,712","1,533",201,"5,262"
, San Diego  , SND ,626,549,36,"1,518", -   ,18, -   , D , D ,25, D ,37, D , D , D , D ,635,601,38,"1,562"
, San Fernando Valley , SFV ,"1,374","1,253",223,"3,532", -   ,26, D ,42, D ,82, D ,324, D ,43,10,44,"1,383","1,404",244,"3,942"
, San Francisco , SFR ,"1,946","1,807",129,"4,472", -   ,30, D ,58,14,178, D ,346,49,12, D ,140,"2,009","2,027",140,"5,016"
, San Jose  , SNJ ,"1,235","1,140",62,"2,824", -   ,27,10,45, D ,60, D ,168,17,11, -   ,29,"1,260","1,238",73,"3,066"
, Santa Ana , SAA ,"1,380",640,98,"3,731", -   ,22, D ,76,13,77, D ,188,19,41, D ,13,"1,412",780,110,"4,008"
 Colorado ,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ,"1,069",772,134,"3,426", -   ,18, D ,78,29, D , D ,104, D ,27, D ,101,"1,102",825,145,"3,709"
 Connecticut ,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR ,715,561,118,"2,474", -   ,20, -   ,40, D ,39, D ,66, D ,15, D ,48,725,635,122,"2,628"
Delaware,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ,"1,313","1,349",162,"3,420", -   ,35,20,245,27,233, D ,443,74,70, D ,84,"1,414","1,687",199,"4,192"
 Florida ,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA ,654,539,68,"2,009", -   , D , -   ,28,"2,471",348,46,"8,374",13, D , D ,31,"3,138",902,116,"10,442"
, Jacksonville , JAC ,483,398,62,"1,291", -   , -   , -   ,16,98,48, -   ,406, D , D , D ,13,583,451,63,"1,726"
, Kendall , KND ,605,632,67,"1,431", -   , D , D , D ,"2,650",436,82,"8,808",10,10, -   ,27,"3,265","1,080",155,"10,271"
, Miami  , MIA ,"1,155","1,281",164,"3,020", -   ,19, D ,32,"1,608",347,74,"5,619",24,76, D ,50,"2,787","1,723",249,"8,721"
, Oakland Park , OKL ,"1,451","1,101",146,"3,361", -   ,14, D ,54,418,122,25,"1,365",25,19, D ,45,"1,894","1,256",180,"4,825"
, Orlando  , ORL ,"1,069","1,006",198,"2,702", -   , D , D ,10,242,86,11,878,19,30, D ,65,"1,330","1,130",217,"3,655"
, Tampa  , TAM ,"1,108",995,163,"3,016", -   ,25, -   , D ,989,154,18,"3,293",18,36, D ,51,"2,115","1,210",182,"6,366"
, West Palm Beach , WPB ,857,549,129,"1,992", -   , D , D , D ,322,102, D ,"1,292",17,29, D , D ,"1,196",687,141,"3,295"
 Georgia ,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ,"2,235","1,933",343,"4,777", -   ,37, D ,144,56,30, D ,561,45,54,12,24,"2,336","2,054",366,"5,506"
 Hawaii ,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW ,410,415,60,847, -   , -   , -   , D , D , -   , -   ,14, D , -   , -   ,20,415,415,60,888
 Idaho ,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI ,131,235,15,436, -   , -   , -   , -   , D ,116, D ,129, D , D , D ,11,135,352,19,576
 Illinois ,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ,"3,018","2,447",221,"10,358", -   ,25, D ,177,49,61, D ,452,28,35, D ,148,"3,095","2,568",233,"11,135"
 Indiana ,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP ,464,433,49,"1,066", -   , D , D , D ,17,46, D ,75, D ,11, D , -   ,487,495,61,"1,150"
 Iowa ,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM ,202,250, D ,485, -   , -   , -   , D , D ,33, D ,39, D , D , -   ,18,214,285,13,550
 Kansas ,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC ,171,148,12,416, -   , D , -   , D , D ,10, D ,60, D , -   , -   , D ,178,160,16,483
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU ,258,158,47,674, -   , D , D , D ,211,49, D ,661, D ,10, -   ,18,476,219,55,"1,361"
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL ,473,392,56,"1,014", -   , D , -   , D ,53,47, D ,206,13, D , -   ,13,539,448,65,"1,235"
 Maine ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM ,76,61, D ,208, -   , D , -   , D , D , D , -   ,32, D , D , -   , D ,83,77, D ,247
 Maryland ,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ,"1,577",772,159,"4,498", -   ,37, D ,29,18,20, D ,152,41,48, D ,102,"1,636",877,173,"4,781"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ,"1,439",869,112,"3,841", -   ,14, D ,42,12,71, D ,127,16,38, D ,87,"1,467",992,124,"4,097"
, Lawrence , LAW ,473,351,65,"1,625", -   , D , -   , D , -   ,40, D ,115, D ,13, D , D ,477,411,71,"1,748"
 Michigan ,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ,832,852,86,"2,022", -   ,19, D ,15,68,66, D ,206,20,12, -   , D ,920,949,92,"2,251"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ,854,407,70,"2,669", -   , D , D ,27,23,64,14,163,18,38, D ,75,895,514,87,"2,934"
 Missouri ,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN ,430,301,29,"1,072", -   ,12, -   , D ,34, D , D ,108, D , D , -   , D ,467,325,31,"1,185"
, St. Louis  , STL ,239,152,26,745, -   ,10, D ,14, D ,28, D ,67, D ,48, D ,12,246,238,39,838
 Montana ,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL ,68,141, D ,241, -   , -   , -   , -   , -   ,62, D ,39, -   , -   , -   , -   ,68,203, D ,280
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA ,224,419,13,609, -   , D , -   , D ,61,215, D ,298,18,13, -   ,29,303,653,16,944
 Nevada ,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ,932,816,116,"1,630", -   , D , D , D ,276,113,13,951, D ,14, D ,16,"1,211",952,135,"2,606"
, Reno  , REN ,138,180,30,366, -   , D , -   , D , D ,90, -   ,92, D , D , -   , D ,144,273,30,464
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN ,137,89, D ,356, -   , -   , D , -   , -   ,19, -   ,25, D , D , D , D ,139,112,10,382
New Jersey,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL ,565,"1,026",71,"1,542", -   , D , D ,26, D ,540, D ,121, D ,10, -   ,36,575,"1,583",79,"1,725"
, Newark  , NEW ,"2,672","2,107",337,"6,838", -   ,47,16,141,170,409,22,679,13,112, D ,119,"2,855","2,675",384,"7,777"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,221,292,12,631, -   , D , D , -   ,16,110, -   ,127, -   , D , -   , -   ,237,410,14,758
 New York ,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB ,174,140, D ,482, -   , D , -   , D , D , D , D ,34, D , D , -   ,11,177,147,10,530
, Buffalo  , BUF ,288,257,25,765, -   , D , -   , D ,126,55, D ,411,11,11, D ,21,425,331,36,"1,203"
, Long Island , LNY ,"1,622",963,147,"5,381", -   ,20, D ,121,11, D , D ,117,62,104,21,134,"1,695","1,095",182,"5,753"
, New York  , NYC ,"4,802","3,911",701,"13,193", -   ,91,29,81,52,139,32,354,95,601,71,161,"4,949","4,742",833,"13,789"
, Queens , QNS ,"1,565",661,76,"4,115", -   , D , -   ,456,11,22, D ,267,43,20, D ,309,"1,619",710,80,"5,147"
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT ,628,456,76,"1,343", -   , D , -   ,12,27,68, D ,136, D ,14, D ,17,660,544,81,"1,508"
, Raleigh , RAL ,660,630,63,"1,456", -   , D , D ,14,27,161, D ,115,21,31, -   ,12,708,827,67,"1,597"
 Ohio ,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN ,203,161,27,499, -   , D , D , D , D ,16, -   ,22, D ,10, D ,11,216,188,30,537
, Cleveland  , CLE ,303,276,35,752, -   , D , D , D , D ,45, D ,29, D , D , -   , D ,306,325,40,792
, Columbus , CLM ,306,328,68,697, -   , -   , D , D ,17,107, D ,39, D , D , -   , D ,324,438,76,745
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,376,302,41,"1,415", -   ,17, D , D ,15, D , -   ,61, D , D , D ,30,396,330,47,"1,508"
 Oregon ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO ,649,467,45,"1,927", -   , D , -   ,25,32,10, D ,164, D ,14, D ,26,683,499,49,"2,142"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ,"1,315","1,232",234,"3,337", -   ,13, D ,48,59,251, D ,469,18,22, D , D ,"1,392","1,518",258,"3,861"
, Pittsburgh  , PIT ,316,184,34,756, -   , D , D ,13, D ,18, -   ,44, D , -   , -   ,15,326,204,36,828
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO ,229,226,35,605, -   , D , -   , D , D ,22, D ,39, D , D , -   , D ,234,257,37,654
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL ,391,329,42,891, -   , D , D , D ,11,43, D ,49,12,19, D ,10,414,393,47,951
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM ,635,480,36,"1,462", -   ,15, D ,44,35,48, D ,128,16,25, -   ,23,686,568,40,"1,657"
 Texas ,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ,"2,541","1,695",347,"8,707", -   ,29, D ,111,104,12, D ,491,62,67, D ,276,"2,707","1,803",359,"9,585"
, El Paso  , ELP ,743,684,50,"1,614", -   , -   , -   , D ,66,46, D ,289, D ,18, D , D ,814,748,56,"1,912"
, Harlingen  , HLG ,760,702,77,"1,888", -   , D , D , D ,22,89, D ,279,22,37,16,119,804,834,95,"2,288"
, Houston  , HOU ,"2,851","2,051",465,"6,563", -   ,33,12,51,550,59,19,"1,835",28,50, D ,398,"3,429","2,193",501,"8,847"
, San Antonio  , SNA ,"1,471",845,111,"4,035", -   ,18, -   ,13,168,49, D ,632,28,34, D ,91,"1,667",946,120,"4,771"
 Utah ,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,677,608,86,"1,461", -   , -   , -   , D ,14,160, D ,57, D ,15, D , D ,693,783,90,"1,527"
 Vermont ,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA ,62,59, D ,139, -   , D , -   , -   , D , D , D , D , -   , -   , -   , -   ,63,68,10,146
 Virginia ,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR ,457,246,39,"1,314", -   ,18, -   ,10,24,15, D ,135, D ,21, D ,34,489,300,41,"1,493"
 Washington ,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ,"1,130",857,93,"3,014", -   ,20, D ,36,10,81,12,93,21,20, D ,35,"1,161",978,116,"3,178"
, Spokane  , SPO ,93,144,22,187, -   , -   , D , -   , -   ,29, -   ,15, D , D , -   ,16,96,176,23,218
, Yakima , YAK ,161,276,26,324, -   , D , -   , D , D ,24, D ,35, D , D , D , D ,165,311,28,374
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL ,374,328,42,945, -   , D , D ,16,11,27, D ,56, D ,13, D , D ,388,370,48,"1,024"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA ,122,186,D,370, -   , D , -   , -   , -   ,58, -   ,50, -   , D , -   , D ,122,251, D ,423
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA ,34,25,11,70, -   , -   , -   , -   , -   , D , -   , D , -   , -   , -   , -   ,34,28,11,71
, Christiansted  , CHR ,12, D , D ,36, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12, D , D ,36
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,,
, San Juan  , SAJ ,140,189,28,360, -   , -   , -   , D ,13,19, D ,77, -   , -   , -   , D ,153,208,31,447
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,,
, California , WSC , D , D , D ,373,"1,209",221,18,"1,063", -   , -   , -   ,13, -   , -   , -   , -   ,"1,215",224,19,"1,449"
, Nebraska , NSC , -   , -   , -   , -   ,"12,852","12,357",674,"50,644","20,709","24,729",436,"35,350", D , D , -   , D ,"33,563","37,088","1,110","85,997"
, Texas , SSC , -   , -   , -   , -   ,"16,776","12,624",734,"68,324","5,523","3,900",141,"13,443",8,5,15,36,"22,307","16,529",890,"81,803"
, Vermont , ESC ,20, -   ,4,163,9, -   , -   ,26, -   , -   , -   ,4,"5,064","4,032",457,"13,266","5,093","4,032",461,"13,459"
,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"71,400","58,697","8,203","188,987","30,846","26,232","1,667","122,812","37,846","35,802","1,162","94,316","6,240","6,440",784,"16,964","146,332","127,171","11,816","423,079"
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,
'- Represents zero.,,,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,,
"   others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awaiting a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), March 2015",,,,,,,,,,,,,,,,,,,,,,
