,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
April 1 - June 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"93,914","71,393","9,854","305,370","41,920","29,689","1,705","148,547","47,773","36,736","1,262","122,768","11,367","7,986",931,"32,356","194,974","145,804","13,752","609,041",,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA ,"1,162",415,65,"3,213",0,29,D,34,"3,833","1,998",83,"9,564",11,21,D,22,"5,006","2,463",157,"12,833",,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC ,604,469,54,"1,569",0,D,0,29,191,213,D,865,D,D,0,D,800,690,56,"2,471",,,,,,,,,,,,,,,,,,,,,
, Kendall , KND ,997,536,78,"2,739",0,D,0,15,"3,762","1,201",79,"10,280",D,17,D,12,"4,765","1,757",160,"13,046",,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ,"1,673",615,124,"5,929",0,19,D,45,"2,435",792,77,"6,252",D,D,0,33,"4,117","1,427",202,"12,259",,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM ,594,279,51,"1,822",0,D,D,0,835,276,D,"2,406",0,D,D,16,"1,429",557,62,"4,244",,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ,"1,921","1,088",259,"6,890",0,28,D,39,443,528,19,"1,376",D,13,D,23,"2,366","1,657",288,"8,328",,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ,"1,695","1,298",248,"5,297",0,13,D,15,537,845,28,"1,236",D,25,D,12,"2,240","2,181",282,"6,560",,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ,"1,281","1,068",145,"3,159",0,14,0,23,"1,708",844,45,"4,907",17,11,D,63,"3,006","1,937",191,"8,152",,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ,"1,275",698,185,"3,381",0,D,D,28,742,771,24,"1,611",D,15,D,46,"2,020","1,492",216,"5,066",,,,,,,,,,,,,,,,,,,,,
 Georgia ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ,"2,650","1,673",523,"8,626",0,84,D,201,167,94,D,"1,057",D,139,17,20,"2,823","1,990",557,"9,904",,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW ,449,229,23,"1,099",0,0,0,D,D,D,D,26,D,D,0,D,453,234,25,"1,136",,,,,,,,,,,,,,,,,,,,,
 Idaho ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI ,183,400,22,623,0,0,0,0,0,449,D,140,D,D,0,12,190,852,28,775,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ,"3,688","3,103",277,"12,531",0,51,10,176,53,22,0,284,13,22,D,73,"3,754","3,198",290,"13,064",,,,,,,,,,,,,,,,,,,,,
 Indiana ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP ,674,634,57,"1,554",0,10,D,25,72,47,D,141,D,D,D,41,752,698,69,"1,761",,,,,,,,,,,,,,,,,,,,,
 Iowa ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM ,234,206,24,830,0,D,0,D,13,15,D,69,0,10,D,18,247,233,29,922,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC ,240,73,10,773,0,D,0,D,84,D,D,282,D,D,0,13,327,88,11,"1,069",,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU ,362,292,36,881,0,15,0,D,636,415,D,"1,160",D,14,D,73,"1,000",736,44,"2,116",,,,,,,,,,,,,,,,,,,,,
