 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,,"80,952","73,719","8,072","203,650","29,953","29,352","1,728","124,587","39,871","39,720","1,162","86,677","8,116","7,406","1,091","23,176","158,892","150,197","12,053","438,090"
,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC ,163,243, D ,380, -   , D , -   , D ,18,22, -   ,49, D , D , -   , D ,188,271, D ,441
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU ,291,238,62,495, -   , D , D , D ,261,50, D ,260,13,14, -   , D ,565,306,69,762
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL ,555,334,72,"1,094", -   , D , D , D ,57,31, D ,146,41,56, D ,28,653,422,82,"1,273"
 Maine ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM ,103,252, D ,225, -   , -   , -   , D , D ,113, -   ,31, D , D , -   ,16,115,370, D ,275
 Maryland ,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ,"1,732","1,146",129,"4,383", -   ,40, D ,168,28,18, D ,172,79,224,15,286,"1,839","1,428",156,"5,009"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ,"1,707","1,296",124,"4,618", -   ,24, D ,83, D ,167, D ,136,47,60, D ,244,"1,762","1,547",137,"5,081"
, Lawrence , LAW ,610,459,57,"1,266", -   , D , D ,35, D , D , D ,43,11,28, D ,57,626,494,64,"1,401"
 Michigan ,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ,932,"1,369",83,"2,355", -   ,52, -   , D ,42,54, D ,208,18,46, D ,38,992,"1,521",85,"2,608"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ,909,439,60,"2,088", -   ,12, D ,32,41,16, D ,132,22, D , D ,81,972,471,73,"2,333"
 Missouri ,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN ,471,862,32,776, -   ,24, D , D ,26,277,13,58, D , D , -   , D ,501,"1,172",46,849
, St. Louis  , STL ,276,50,12,849, -   , D , -   ,13, D , D , D ,32, D , -   , -   ,21,288,55,14,915
 Montana ,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL ,65,339,12,155, -   , -   , -   , -   , D ,99, D ,33, D , D , D , -   ,69,441,18,188
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA ,280,610,34,959, -   ,19, D , D ,120,354, D ,246,20,39, D ,17,420,"1,022",45,"1,223"
 Nevada ,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ,902,932,107,"2,302", -   , D , D ,10,377,327,14,482,20,40, D ,42,"1,299","1,304",126,"2,836"
, Reno  , REN ,123,272,15,838, -   , D , -   , D , -   ,156, D ,529, D , -   , -   , D ,124,430,16,"1,371"
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN ,174,192, D ,455, -   , D , D , D , D ,113, D ,70, D , D , -   , D ,182,310,11,534
New Jersey,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL ,646,"1,064",75,"1,270", -   , D , D ,43, D ,408, D ,141, D , D , -   ,60,663,"1,487",82,"1,514"
, Newark  , NEW ,"3,108","2,502",251,"10,660", -   ,58,10,129,180,464,18,"1,770",28,10, D ,247,"3,316","3,034",288,"12,806"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,258,498,11,640, -   , -   , -   , -   ,22,198, D ,67, D , D , -   ,24,284,700,12,731
 New York ,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB ,167,164,17,420, -   , -   , -   , D , -   , -   , -   ,16, D , D , -   ,16,172,167,17,457
, Buffalo  , BUF ,342,673,42,749, -   ,10, -   , D ,115,237,18,166, D ,12, D , D ,463,932,61,926
, Long Island , LNY ,"2,160","1,364",169,"6,378", -   ,27, D ,121, D ,58, D ,113,177,263,41,332,"2,343","1,712",216,"6,944"
, New York  , NYC ,"5,420","6,017",898,"14,642", -   ,119,18,103,35,469,36,816,179,411,91,677,"5,634","7,016","1,043","16,238"
, Queens , QNS ,"1,809","1,756",194,"5,335", -   ,42,11,78,12,210,15,201,31,84,14,207,"1,852","2,092",234,"5,821"
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT ,704,712,89,"1,119", -   , D , -   , D ,55,216, D ,90,18,28, D ,19,777,961,103,"1,236"
, Raleigh , RAL ,753,662,73,"1,188", -   , D , -   ,61,17,166, D ,47,23,29, -   ,17,793,866,77,"1,313"
 Ohio ,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN ,272,247,38,498, -   , D , D , -   , D ,29, D ,11,21,19, D ,31,294,304,45,540
, Cleveland  , CLE ,375,264,47,563, -   , D , -   , D , D ,18, -   ,13, D , D , D ,11,382,294,49,590
, Columbus , CLM ,351,234,58,548, -   , D , -   , D , D ,14, D ,26, D , D , D ,19,363,255,64,596
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,485,422,30,"1,265", -   , D , D ,16,14,10, -   ,93,17,10, -   ,49,516,447,33,"1,423"
 Oregon ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO ,742,"1,040",71,"1,380", -   ,29, D ,30,41,20, D ,72, D ,15, D ,16,790,"1,104",84,"1,498"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ,"1,578","2,090",162,"3,435", -   ,31, D ,84,59,610,12,335,29,59, D ,145,"1,666","2,790",188,"3,999"
, Pittsburgh  , PIT ,347,336,26,838, -   , D , -   , D , D ,52, D ,147, D , D , -   ,22,356,405,27,"1,012"
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO ,277,549,27,573, -   , D , -   , D , D ,175, D ,29, D , D , D ,33,285,735,33,639
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL ,419,403,49,"1,046", -   ,18, -   , D ,17,29, D ,127, D ,18, D , D ,438,468,53,"1,182"
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM ,773,669,46,"1,360", -   , D , -   ,34,44,105, -   ,95,35,70, D ,43,852,853,49,"1,532"
 Texas ,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ,"2,961","1,933",299,"10,882", -   ,36,12,128,182,434, D ,589,67,149, D ,504,"3,210","2,552",326,"12,103"
, El Paso  , ELP ,672,793,54,"1,456", -   , D , -   , D ,62,151, D ,140, D , D , -   ,20,736,951,56,"1,624"
, Harlingen  , HLG ,832,926,88,"1,666", -   , D , -   , D ,32,178, D ,185, D ,11, D ,50,868,"1,116",92,"1,909"
, Houston  , HOU ,"3,368",611,189,"10,308", -   ,29, D ,138,876,49, D ,"1,464",58,83, D ,335,"4,302",772,206,"12,245"
, San Antonio  , SNA ,"1,716","1,068",109,"3,730", -   ,19, -   ,43,325,13,10,400,59,93,24,169,"2,100","1,193",143,"4,342"
 Utah ,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,760,809,59,"1,399", -   ,10, -   ,11, D ,254, D ,158, D ,10, -   ,12,774,"1,083",63,"1,580"
 Vermont ,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA ,62,159, D ,108, -   , D , D , D , D ,33, D , D , -   , D , -   , D ,63,194, D ,122
 Virginia ,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR ,575,802,59,"1,257", -   , D , D ,41,22,199, D ,119,20,43, D ,43,617,"1,047",65,"1,460"
 Washington ,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ,"1,287","1,953",121,"2,872", -   ,46, D ,31,15,31, D ,64,14,39, D ,14,"1,316","2,069",139,"2,981"
, Spokane  , SPO ,97,143,15,229, -   , D , -   , -   , D ,17, D ,23, -   , -   , -   , D ,99,164,18,254
, Yakima , YAK ,205,321,10,385, -   , D , -   , D , D ,62, -   ,15, D , D , D , D ,211,386,12,408
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL ,460,301,31,912, -   , D , D ,13, D ,27, D ,66, D ,13, D ,35,470,348,36,"1,026"
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA ,131,247,12,495, -   , -   , D , D , -   ,130, -   ,91, -   , -   , -   , -   ,131,377,13,587
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA ,31,70, D ,51, -   , -   , -   , -   , D ,19, -   , D , -   , -   , -   , -   ,32,89, D ,55
, Christiansted  , CHR , D , D , D ,46, -   , -   , -   , -   , -   , -   , -   ,10, -   , -   , -   , -   , D , D , D ,56
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,,
, San Juan  , SAJ ,149,185,14,404, -   , -   , -   , D ,21,39, -   ,52, -   , -   , D , D ,170,224,17,461
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,
 Service Center ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,
, California , WSC , D ,10, D ,327,663,507,34,"2,014", -   , -   , -   ,11, -   , -   , -   , -   ,669,517,38,"2,352"
, Nebraska , NSC , -   , -   , -   , -   ,"18,031","14,475",558,"59,645","19,444","19,932",311,"42,000", -   , -   , -   , -   ,"37,475","34,407",869,"101,645"
, Texas , SSC , -   , -   , -   , -   ,"11,259","12,988",927,"59,697","5,314","5,359",155,"15,911",21, D ,34,59,"16,594","18,355","1,116","75,667"
, Vermont , ESC ,29, -   , D ,146, -   , -   , -   ,35, D , D , D ,25,"6,436","4,098",618,"17,475","6,469","4,099",627,"17,681"
,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"80,952","73,719","8,072","203,650","29,953","29,352","1,728","124,587","39,871","39,720","1,162","86,677","8,116","7,406","1,091","23,176","158,892","150,197","12,053","438,090"
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,
"1  ""Family-based"" applications for conditional or permanent legal permanent resident (LPR) status represent requests supported by a family relationship with an LPR or a U.S. citizen. ""Employment-based"" applications for conditional or permanent LPR status represent requests supported by employment, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise.  ""Humanitarian-based"" applications for LPR status represent requests supported by humanitarian considerations.   ""Others"" applications for LPR status represent requests for all other categories, including those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born in Canada based on Section 289 of the Immigration and Nationality Act (INA).
",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awaiting a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), March 2016",,,,,,,,,,,,,,,,,,,,,,
