 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,,"78,921","67,721","7,730","196,837","34,266","38,464","1,651","118,481","41,001","40,222","1,256","93,209","8,795","6,488",851,"19,183","162,983","152,895","11,488","427,710"
,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM ,175,207,18,479, -   ,5, -   ,3,12,61,5,37,22,8, -   ,17,209,281,23,536
 Kansas ,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC ,206,194,14,418, -   , -   , -   ,4,12,48,2,40,2,3, -   ,7,220,245,16,469
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU ,272,144,35,646, -   ,11, -   ,13,231,27,2,565,8,14,5,3,511,196,42,"1,227"
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL ,568,428,55,"1,077", -   ,3,3,2,64,115,1,178,12,2, -   ,22,644,548,59,"1,279"
 Maine ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM ,84,346,5,241, -   , -   , -   ,2,13,198, -   ,50,2,4, -   ,3,99,548,5,296
 Maryland ,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ,"1,649",818,107,"4,962", -   ,19,8,62,32,133,5,217,60,82,5,101,"1,741","1,052",125,"5,342"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ,"1,572",861,61,"4,277", -   ,24,1,63,14,238,3,312,54,57,16,69,"1,640","1,180",81,"4,721"
, Lawrence , LAW ,571,296,47,"1,839", -   ,6, -   ,18,5,107,3,176,4,7,2,2,580,416,52,"2,035"
 Michigan ,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ,897,789,98,"2,272",2,24,2,16,102,75,11,201,19,11,1,23,"1,020",899,112,"2,512"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ,806,474,79,"2,296", -   ,10,1,15,29,30,12,137,14,27,5,47,849,541,97,"2,495"
 Missouri ,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN ,454,475,29,"1,041", -   ,3, -   ,25,51,56,5,129,9,5, -   ,13,514,539,34,"1,208"
, St. Louis  , STL ,244,196,19,756, -   ,2, -   ,14,8,50,2,86,5,56,4,2,257,304,25,858
 Montana ,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL ,63,290,11,190, -   , -   , -   , -   , -   ,126,7,50, -   , -   , -   , -   ,63,416,18,240
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA ,260,536,35,708, -   ,10,5,20,91,248,7,279,19,24,4,71,370,818,51,"1,078"
 Nevada ,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ,996,668,110,"2,500", -   ,12, -   ,11,329,251,8,"1,184",5,18,4,22,"1,330",949,122,"3,717"
, Reno  , REN ,143,220,26,452, -   , -   , -   ,3,1,176,6,98,5,6, -   ,2,149,402,32,555
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN ,135,259,10,406, -   ,2, -   ,1,1,99,1,76, -   ,2, -   ,1,136,362,11,484
New Jersey,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL ,612,737,72,"1,754", -   ,8,3,91,6,213,1,336,8,7,2,41,626,965,78,"2,222"
, Newark  , NEW ,"3,056","3,040",311,"6,978", -   ,39,18,174,189,732,12,801,28,18,3,161,"3,273","3,829",344,"8,114"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,276,438,40,535, -   ,1, -   ,1,31,161,1,130, -   , -   ,1, -   ,307,600,42,666
 New York ,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB ,162,64,15,476, -   ,2, -   ,4,1, -   ,1,17,4,1, -   ,17,167,67,16,514
, Buffalo  , BUF ,264,631,15,842, -   ,2, -   ,22,97,281,3,453, -   ,17, -   ,10,361,931,18,"1,327"
, Long Island , LNY ,"2,006",806,105,"5,640", -   ,55,5,169,3,80, -   ,194,107,123,22,322,"2,116","1,064",132,"6,325"
, New York  , NYC ,"5,377","3,909",819,"14,354", -   ,97,24,215,43,605,35,652,120,485,53,536,"5,540","5,096",931,"15,757"
, Queens , QNS ,"1,760",476,144,"5,189", -   ,22,3,196,16,29,2,314,35,40,4,358,"1,811",567,153,"6,057"
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT ,654,615,71,"1,213", -   ,6, -   ,15,24,113,5,109,7,15,2,14,685,749,78,"1,351"
, Raleigh , RAL ,661,"1,324",45,"1,442", -   ,37,1,30,12,491,7,143,21,48,3,14,694,"1,900",56,"1,629"
 Ohio ,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN ,247,233,20,476, -   ,15, -   ,3,3,37,1,20,13,18,2,6,263,303,23,505
, Cleveland  , CLE ,357,286,41,710, -   ,2, -   ,7,5,54,1,23,1,5,1,5,363,347,43,745
, Columbus , CLM ,345,326,52,688, -   ,3, -   ,9,10,37,2,30,8,1, -   ,10,363,367,54,737
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,387,277,32,"1,367", -   ,30,1,10,13,33,1,51,8,5,1,13,408,345,35,"1,441"
 Oregon ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO ,695,656,40,"1,826", -   ,7, -   ,37,40,12,1,139,6,24, -   ,9,741,699,41,"2,011"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ,"1,422","1,783",170,"3,156", -   ,10,14,34,58,503,15,538,25,22,6,13,"1,505","2,318",205,"3,741"
, Pittsburgh  , PIT ,283,150,23,"1,063", -   ,10, -   ,7,2,50, -   ,142,3,4, -   ,12,288,214,23,"1,224"
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO ,217,554,21,647, -   ,2, -   ,2,2,305,4,70,3,13,1,5,222,874,26,724
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL ,388,380,39,887, -   ,6, -   , -   ,13,86,1,89,6,7,1,5,407,479,41,981
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM ,690,581,52,"1,411", -   ,11, -   ,42,67,130,1,153,34,50,1,23,791,772,54,"1,629"
 Texas ,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ,"2,792","2,386",302,"9,358", -   ,22,12,117,111,554,17,381,64,72,4,342,"2,967","3,034",335,"10,198"
, El Paso  , ELP ,901,661,51,"1,905", -   , -   , -   , -   ,66,73, -   ,278,5,11, -   ,24,972,745,51,"2,207"
, Harlingen  , HLG ,841,"1,007",55,"1,902", -   ,5, -   , -   ,30,421, -   ,284,21,30, -   ,74,892,"1,463",55,"2,260"
, Houston  , HOU ,"3,148","2,120",322,"6,573", -   ,31,7,48,567,213,10,"1,618",56,45,2,437,"3,771","2,409",341,"8,676"
, San Antonio  , SNA ,"1,696",887,125,"4,085", -   ,22,3,50,235,25,1,537,37,94,10,174,"1,968","1,028",139,"4,846"
 Utah ,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,669,734,44,"1,480", -   , -   ,1,11,3,168,5,149,3,3, -   ,25,675,905,50,"1,665"
 Vermont ,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA ,57,72,2,131, -   , -   , -   ,1,1,13,1,4, -   , -   , -   , -   ,58,85,3,136
 Virginia ,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR ,478,378,36,"1,252", -   ,7,1,23,19,217,1,104,20,22,3,32,517,624,41,"1,411"
 Washington ,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ,"1,210",521,66,"3,372", -   ,26,3,45,30,40,8,64,12,17,8,28,"1,252",604,85,"3,509"
, Spokane  , SPO ,90,139,21,214, -   ,1,1,1, -   ,15,1,14,1,2, -   , -   ,91,157,23,229
, Yakima , YAK ,174,224,22,397, -   ,6, -   , -   ,6,33, -   ,44,1,7,3,2,181,270,25,443
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL ,443,341,39,924, -   ,12, -   ,22,21,67,3,59,7,10,2,25,471,430,44,"1,030"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA ,140,243,11,344, -   , -   , -   ,5, -   ,76, -   ,8, -   ,3, -   , -   ,140,322,11,357
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA ,34,48,1,111, -   ,5, -   , -   ,1,6, -   ,11, -   , -   , -   ,1,35,59,1,123
, Christiansted  , CHR ,13,15,1,34, -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   ,13,17,1,34
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,,
, San Juan  , SAJ ,178,146,22,460, -   ,3, -   , -   ,17,4, -   ,99, -   , -   , -   ,16,195,153,22,575
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,,
, California , WSC ,7,5, -   ,377,"1,156",247,11,"1,332", -   ,1, -   ,12, -   , -   , -   , -   ,"1,163",253,11,"1,721"
, Nebraska , NSC , -   , -   , -   , -   ,"16,370","19,561",657,"46,823","22,351","19,488",424,"38,441", -   , -   , -   , -   ,"38,721","39,049","1,081","85,264"
