" U.S. Citizenship and Immigration Services
Field Offices Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions, and Pending 
Fiscal Years: 2010 through 2013 (November 2012) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Family , I-485 Family , I-485 Family , I-485 Family , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 All Others , I-485 All Others , I-485 All Others , I-485 All Others , Total I-485s , Total I-485s , Total I-485s 
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2010, FRE , FRESNO CA  , -   ,50,17,8, -   ,23,6,2, -   , -   , -   , -   , -   ,160,39,82,"2,673","2,265",488,"1,157",5,4, -   ,1,53,173,19,34,"2,731","3,244","1,284"
2010, FSA , FORT SMITH AR  , -   ,1, -   ,1, -   ,1, -   , -   , -   , -   , -   , -   , -   ,26,3,19,550,452,112,217,1, -   ,1,1,11,11,3, -   ,562,610,238
2010, GCU , GARDEN CITY NY , -   ,272,58,64,1,32,10,20, -   , -   , -   , -   , -   ,"1,419",378,814,"18,905","14,956","2,730","7,399",104,57,7,25,322,421,154,216,"19,332","20,494","8,538"
2010, GRR , GREER SC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2010, HAR , HARTFORD CT  , -   ,33,4,4, -   ,12,2,2, -   , -   , -   , -   , -   ,183,50,388,"3,776","2,992",814,"1,886",32,17, -   ,20,73,102,52,11,"3,881","4,261","2,311"
2010, HEL , HELENA MT  , -   , -   ,1,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,4, -   ,4,211,146,21,72, -   , -   , -   , -   ,3,3,1, -   ,214,176,77
2010, HHW , HONOLULU HI  , -   ,3,1,4, -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,1,25,"1,618","1,350",188,816,1, -   , -   , -   ,17,5,1,12,"1,636","1,553",857
2010, HIA , HIALEAH FL ,1,39,7,9, -   ,29,6,4, -   , -   , -   , -   ,1,76,45,97,"3,192","2,780",590,974,"8,379","7,931",557,"1,642",60,38,19,12,"11,633","12,117","2,738"
2010, HLG , HARLINGEN TX  , -   ,1, -   , -   , -   ,1,1, -   , -   , -   , -   , -   , -   ,9,2,46,"3,111","2,630",395,"1,450",15,4, -   ,17,85,121,41,16,"3,211","3,205","1,529"
2010, HOU , HOUSTON TX  , -   ,23,4,31,5,32,10,17, -   ,2, -   ,1, -   ,944,166,926,"10,349","8,605","1,580","3,611",463,303,26,109,128,124,105,73,"10,945","11,924","4,768"
2010, IMP , IMPERIAL CA , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,687,551,41,264,4,3, -   ,2,10,3, -   ,3,701,598,271
2010, INP , INDIANAPOLIS IN  , -   ,15,3,10,5,33,17,1, -   , -   , -   , -   , -   ,116,21,111,"1,657","1,272",251,539,17,6,1,10,33,51,10,9,"1,712","1,796",680
2010, JAC , JACKSONV'L FL  , -   ,13,1,4, -   ,14,4,18, -   , -   , -   , -   , -   ,43,7,76,"2,046","1,834",338,573,209,114,9,102,30,21,4,72,"2,285","2,402",845
2010, KAN , KANSAS CITY MO  ,1,12,1,2, -   ,33,5,6, -   ,1, -   , -   , -   ,103,20,103,"1,854","1,706",215,749,63,57,3,18,33,46,4,9,"1,951","2,206",887
2010, KND , KENDALL FL , -   ,34,16,3, -   ,27,12,48, -   , -   , -   , -   ,1,86,50,100,"3,151","2,444",693,"1,257","7,955","6,733",614,"2,344",52,41,27,50,"11,159","10,777","3,802"
2010, LAW , LAWRENCE MA , -   ,30, -   ,14, -   ,78,6,2, -   ,1, -   , -   , -   ,128,27,138,"2,447","1,962",324,796,14,5,1,7,135,101,14,49,"2,596","2,677","1,006"
2010, LOS , LOS ANGELES CA  ,2,352,61,127,2,129,15,37, -   ,1, -   , -   , -   ,"1,595",284,"2,343","17,481","19,553","3,088","8,290",127,52,7,37,241,"2,433",43,211,"17,853","27,613","11,045"
2010, LOU , LOUISVILLE KY  , -   ,17, -   ,3, -   ,79,7,17, -   , -   , -   , -   , -   ,62,16,73,"1,027",890,99,352,379,325,12,92,16,11,2,5,"1,422","1,520",542
2010, LVG , LAS VEGAS NV  , -   ,51,9,7,1,21,9,8, -   , -   , -   , -   , -   ,83,23,91,"3,363","3,152",639,"1,087",386,387,46,104,60,116,28,12,"3,810","4,564","1,309"
2010, MAN , MANCHESTER NH  , -   ,9, -   ,3, -   ,20,9,4, -   , -   , -   , -   , -   ,26,3,35,603,486,48,177,1,1, -   ,2,6,21, -   ,2,610,623,223
2010, MEM , MEMPHIS TN  , -   ,24,3,16, -   ,61,11,11, -   , -   , -   ,2, -   ,128,26,176,"2,650","2,094",275,969,80,41,7,26,42,53,4,50,"2,772","2,727","1,250"
2010, MIA , MIAMI FL  , -   ,47,16,7, -   ,17,9,15, -   , -   , -   , -   , -   ,127,56,112,"4,425","2,827","1,062","2,261","5,574","3,028",543,"2,404",91,75,33,91,"10,090","7,840","4,890"
2010, MIL , MILWAUKEE WI  , -   ,5,4,13, -   ,6,6,6, -   , -   , -   , -   , -   ,69,12,174,"1,499","1,306",258,359,18,12,1,6,27,50,3,12,"1,544","1,732",570
2010, MTL , MOUNT LAUREL NJ , -   ,19,3,1, -   ,14,4,3, -   , -   , -   , -   , -   ,262,81,175,"2,727","2,156",384,975,22,10,1,15,29,62,27,8,"2,778","3,023","1,177"
2010, NEW , NEWARK NJ  , -   ,62,11,81, -   ,14,3,23, -   , -   , -   , -   , -   ,"1,286",363,"1,237","13,654","10,534","2,139","4,963",539,347,48,206,221,507,85,134,"14,414","15,399","6,644"
2010, NOL , NEW ORLEANS LA  , -   ,3,1,7, -   ,3,1,3, -   , -   , -   , -   , -   ,73,26,57,"1,802","1,742",268,668,100,75,8,33,28,32,5,14,"1,930","2,237",782
2010, NOR , NORFOLK VA  , -   ,8, -   ,4, -   ,19,3,6, -   , -   , -   , -   , -   ,154,25,219,"1,645","1,473",180,487,52,48,8,11,31,44,3,8,"1,728","1,965",735
2010, NYC , NEW YORK NY  , -   ,842,111,176, -   ,26,27,5, -   , -   , -   , -   , -   ,"1,666",442,398,"17,103","13,157","3,946","7,710",129,101,39,49,372,"1,363",314,169,"17,604","22,034","8,507"
2010, OKC , OKLAHOMA CITY OK  , -   ,10,2,6, -   ,3, -   ,3, -   , -   , -   , -   , -   ,127,18,123,"1,529","1,334",204,491,23,15,2,3,24,36,9, -   ,"1,576","1,760",626
2010, OKL , OAKLAND PARK FL , -   ,70,31,29, -   ,3,4,4, -   , -   , -   , -   , -   ,163,91,235,"6,948","5,786","1,555","2,015","1,440","1,120",227,428,92,148,48,209,"8,480","9,246","2,920"
2010, OMA , OMAHA NE  , -   ,14,2,4, -   ,43,19,22, -   , -   , -   , -   , -   ,25,6,22,917,846,160,290,151,135,4,26,52,84,6,18,"1,120","1,344",382
2010, ORL , ORLANDO FL  , -   ,65,16,5, -   ,17,1,2, -   , -   , -   , -   , -   ,143,53,135,"5,030","3,975","1,245","1,622",574,460,71,118,62,142,41,11,"5,666","6,229","1,893"
2010, PHI , PHILADELPHI PA  , -   ,54,27,8,1,40,22,10, -   , -   , -   , -   , -   ,179,65,360,"5,932","4,631","1,232","2,332",144,55,4,107,153,265,40,79,"6,230","6,614","2,896"
2010, PHO , PHOENIX AZ  , -   ,31,5,13,16,82,41,16, -   , -   , -   , -   , -   ,190,69,319,"5,277","4,438",636,"2,442",183,152,22,50,66,183,28,42,"5,542","5,877","2,882"
2010, PIT , PITTSBURGH PA  , -   ,5, -   , -   , -   ,13,1,3, -   , -   , -   , -   , -   ,43,10,70,927,843,67,357,4,2,1, -   ,26,45,1,14,957,"1,031",444
2010, POM , PORTLAND ME  , -   ,1, -   ,3, -   ,16,11,7, -   , -   , -   , -   , -   ,16,1,9,379,274,39,104,5,1,1,4,2,12, -   , -   ,386,372,127
2010, POO , PORTLAND OR  , -   ,17,1,5, -   ,40,3,22, -   , -   , -   , -   , -   ,79,11,121,"1,963","1,806",202,804,82,49,2,22,132,126,20,52,"2,177","2,356","1,026"
2010, PRO , PROVIDENCE RI  , -   ,11,3,3, -   ,9,2,1, -   , -   , -   , -   , -   ,16,9,17,"1,146",904,222,402,6,6, -   ,5,11,25,1,1,"1,163","1,208",429
2010, RAL , RALEIGH NC , -   ,19,1,9, -   ,22,1, -   , -   ,2, -   , -   , -   ,146,31,158,"2,390","2,106",354,900,22,28,3,7,33,59,9,13,"2,445","2,781","1,087"
2010, REN , RENO NV  , -   ,11,1,3, -   ,1, -   , -   , -   , -   , -   , -   , -   ,49,5,24,624,510,108,265,10,3, -   ,7,5,9,1,2,639,698,301
2010, SAA , SANTA ANA CA , -   ,32,6,7, -   ,14,4,2, -   ,1,1,1, -   ,"1,306",252,806,"5,342","4,737",659,"2,285",31,24,5,1,82,114,18,29,"5,455","7,173","3,131"
2010, SAC , SACRAMENTO CA  , -   ,59,21,21, -   ,38,12,14, -   ,1, -   , -   , -   ,96,35,196,"3,386","2,931",461,"1,593",16,3, -   ,10,405,401,18,91,"3,807","4,076","1,925"
2010, SAJ , SAN JUAN PR  , -   ,3,1, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   ,23,5,1,855,908,217,243,77,33,7,47,9,9,4,28,941,"1,211",319
2010, SBD , SAN BERNADINO CA , -   ,30,3,9, -   ,2, -   ,1, -   , -   , -   , -   , -   ,598,97,398,"5,837","5,016",912,"2,417",45,27,8,15,69,118,24,30,"5,951","6,835","2,870"
2010, SEA , SEATTLE WA  , -   ,80,19,25,3,120,25,16, -   ,2, -   , -   , -   ,205,83,432,"4,802","4,480",521,"1,653",15,16,4,5,459,445,71,129,"5,279","6,071","2,260"
2010, SFR , SAN FRAN. CA  , -   ,211,35,48, -   ,18,2,3, -   ,13, -   , -   , -   ,456,113,653,"7,957","7,102",936,"3,102",53,25,2,13,119,529,33,63,"8,129","9,475","3,882"
2010, SFV , SAN FERNANDO VALLEY CA , -   ,99,12,45, -   ,33,3,11, -   ,5, -   , -   , -   ,722,128,786,"6,604","4,929",705,"3,006",40,33,3,13,74,41,9,24,"6,718","6,722","3,885"
2010, SLC , SALT LAKE CITY UT  , -   ,9,1,1, -   ,39,6,15, -   , -   , -   , -   , -   ,85,7,72,"2,499","1,924",251,881,10,3, -   ,11,32,50,4,26,"2,541","2,379","1,006"
2010, SNA , SAN ANTONIO TX  , -   ,5, -   ,5, -   ,6,1,15, -   , -   , -   , -   , -   ,277,24,363,"5,977","5,272",477,"2,028",257,101,11,147,105,182,38,23,"6,339","6,394","2,581"
2010, SND , SAN DIEGO CA  , -   ,27,1,12, -   ,5,2, -   , -   , -   , -   ,2, -   ,157,27,165,"2,335","2,552",192,854,6,1,1,2,46,106,9,20,"2,387","3,080","1,055"
2010, SNJ , SAN JOSE CA  , -   ,57,10,23, -   ,27,4,6, -   ,1, -   ,1, -   ,411,100,648,"4,257","4,080",363,"1,440",14,5,1,3,62,304,6,18,"4,333","5,369","2,139"
2010, SPM , ST PAUL MN  , -   ,90,23,26, -   ,257,113,59, -   ,4,2, -   , -   ,94,54,170,"2,969","2,310",481,"1,072",22,8,3,10,100,146,21,31,"3,091","3,606","1,368"
2010, SPO , SPOKANE WA  , -   ,1,1, -   , -   ,5,3,2, -   , -   , -   , -   , -   ,8, -   ,8,323,291,29,121,3, -   , -   ,2,37,66,3,2,363,407,135
2010, STA , ST ALBANS VT  , -   ,3,2, -   , -   , -   , -   ,2, -   , -   , -   , -   , -   ,22,12,16,206,232,38,67,2, -   ,1, -   ,3,5,2, -   ,211,317,85
2010, STL , ST LOUIS MO  , -   ,19,1,3, -   ,35,7,12, -   , -   , -   , -   , -   ,72,7,33,951,825,110,321,7,12, -   ,1,13,14, -   ,11,971,"1,102",381
2010, TAM , TAMPA FL  , -   ,59,6,11, -   ,36,7,5, -   , -   , -   , -   , -   ,158,45,254,"4,913","4,112","1,005","1,900","2,149","1,760",158,507,92,275,45,39,"7,154","7,666","2,716"
2010, TUC , TUCSON AZ/SUB  , -   ,11,1,2, -   ,17,3,4, -   , -   , -   , -   , -   ,29,8,2,"2,125","1,662",167,975,20,15,3,4,25,31,2,2,"2,170","1,949",989
2010, WAS , WASHINGTON DC  , -   ,74,36,55, -   ,20,8,84, -   ,4,1, -   , -   ,874,213,"1,335","6,222","4,331",961,"3,105",86,81,21,34,178,125,30,320,"6,486","6,779","4,933"
2010, WIC , WICHITA KS , -   ,8, -   ,2, -   ,7,3,6, -   , -   , -   , -   , -   ,20,5,19,742,735,64,334,42,28, -   ,9,7,16,1,2,791,887,372
2010, WPB , WEST PALM BEACH FL , -   ,37,6,8, -   ,3,1,4, -   , -   , -   , -   , -   ,88,38,62,"3,943","3,152","1,003","1,319","1,039",796,117,222,79,88,11,29,"5,061","5,340","1,644"
2010, YAK , YAKIMA WA , -   ,3,2, -   , -   ,1, -   ,1, -   , -   , -   , -   , -   ,10, -   ,15,482,470,42,200,6,3,1,1,18,31, -   ,2,506,563,219
