" U.S. Citizenship and Immigration Services
Field Offices Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions, and Pending 
Fiscal Years: 2010 through 2013 (November 2012) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Family , I-485 Family , I-485 Family , I-485 Family , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 All Others , I-485 All Others , I-485 All Others , I-485 All Others , Total I-485s , Total I-485s , Total I-485s 
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2011, GCU , GARDEN CITY NY ,1,140,27,116, -   ,9,5,11, -   , -   , -   , -   , -   ,286,141,124,"11,612","4,999","1,347","9,184",45,18,5,33,190,153,41,123,"11,848","7,171","9,591"
2011, GRR , GREER SC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2011, HAR , HARTFORD CT  ,1,17,3,13, -   ,8, -   ,13, -   , -   , -   , -   , -   ,106,12,23,"3,732","3,669",589,"1,717",35,14,2,26,40,68,11,9,"3,808","4,499","1,801"
2011, HEL , HELENA MT  , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,4,237,195,11,79,1, -   , -   , -   ,13,7, -   ,1,251,216,84
2011, HHW , HONOLULU HI  , -   ,5, -   ,14, -   , -   , -   ,1, -   , -   , -   , -   , -   ,8,2,17,"1,510","1,593",148,713, -   , -   , -   , -   ,14,8,1,10,"1,524","1,765",755
2011, HIA , HIALEAH FL ,3,28,4,8,12,34,6,9, -   , -   , -   , -   , -   ,44,36,17,"2,904","3,067",553,967,"8,506","7,974",512,"2,174",46,42,4,18,"11,471","12,304","3,193"
2011, HLG , HARLINGEN TX  , -   ,6,1,1, -   , -   , -   ,2, -   , -   , -   , -   , -   ,22, -   ,18,"4,147","3,780",346,"1,696",40,4,1,34,99,89,22,35,"4,286","4,271","1,786"
2011, HOU , HOUSTON TX  , -   ,33,5,5,30,40,7,45, -   ,1, -   ,1, -   ,295,97,90,"10,338","9,224","1,547","3,508",494,327,30,236,152,123,28,110,"11,014","11,757","3,995"
2011, IMP , IMPERIAL CA , -   ,3, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   ,4, -   , -   ,620,628,48,199,1,1, -   , -   ,5,1,1,1,626,687,200
2011, INP , INDIANAPOLIS IN  , -   ,20, -   ,9,11,21,6,22, -   , -   , -   , -   , -   ,51,17,15,"1,713","1,331",204,633,15,17,1,3,43,66,10,12,"1,782","1,744",694
2011, JAC , JACKSONV'L FL  , -   ,9,1,10,9,7,1,21, -   , -   , -   , -   , -   ,54,14,9,"1,950","1,751",271,553,191,181,9,64,34,27,11,13,"2,184","2,336",670
2011, KAN , KANSAS CITY MO  , -   ,11, -   ,5,68,17,4,36, -   , -   , -   , -   , -   ,34,5,7,"1,770","1,541",190,768,56,38,4,24,47,38,5,10,"1,941","1,887",850
2011, KND , KENDALL FL ,1,20,7,3,2,26,7,8, -   , -   , -   , -   , -   ,43,34,12,"2,774","2,439",588,"1,326","8,129","7,292",624,"2,492",27,22,19,31,"10,933","11,121","3,872"
2011, LAW , LAWRENCE MA , -   ,9, -   ,15,5,26,1,11, -   , -   , -   ,1, -   ,77,11,10,"2,399","1,901",345,862,25,11,4,17,53,48,11,37,"2,482","2,444",953
2011, LNY , LONG ISLAND NY , -   ,56,8,22, -   ,2,5,2, -   , -   , -   , -   , -   ,189,116,39,"7,060","5,622",783,"3,905",30,23,4,15,96,102,42,94,"7,186","6,952","4,077"
2011, LOS , LOS ANGELES CA  ,6,272,31,174,5,112,3,29, -   ,1,1, -   , -   ,937,148,328,"16,752","14,927","1,977","9,920",157,70,12,86,251,"1,971",51,143,"17,171","20,513","10,680"
2011, LOU , LOUISVILLE KY  , -   ,9,2,7,4,24,6,34, -   , -   , -   , -   , -   ,28,1,13,982,791,118,392,463,409,6,136,20,23,2,14,"1,469","1,419",596
2011, LVG , LAS VEGAS NV  ,1,24,8,19,8,13,14,16, -   , -   , -   , -   , -   ,35,7,17,"3,382","2,851",628,"1,242",486,461,25,127,20,77,13,21,"3,897","4,156","1,442"
2011, MAN , MANCHESTER NH  , -   ,5,2,2, -   ,12,3,6, -   ,3, -   , -   , -   ,15,1,6,600,506,73,179,11,7, -   , -   ,3,22,6,1,614,655,194
2011, MEM , MEMPHIS TN  ,3,23,5,16,28,32,8,26, -   , -   , -   ,1, -   ,76,14,39,"2,504","2,158",342,870,80,65,10,18,41,37,5,17,"2,656","2,775",987
2011, MIA , MIAMI FL  , -   ,31,15,7,5,17,5,20, -   , -   , -   , -   , -   ,47,34,21,"4,295","3,922",687,"2,005","5,749","5,645",435,"1,708",53,66,24,70,"10,102","10,928","3,831"
2011, MIL , MILWAUKEE WI  , -   ,16,3,7,14,16,5,23, -   , -   , -   , -   , -   ,53,15,41,"1,589","1,255",187,537,29,20,7,9,27,53,9,3,"1,659","1,639",620
2011, MTL , MOUNT LAUREL NJ , -   ,16,1, -   ,3,5,1,13, -   , -   , -   , -   , -   ,46,21,35,"2,683","2,338",360,"1,074",17,27,5,1,45,85,11,2,"2,748","2,916","1,125"
2011, NEW , NEWARK NJ  , -   ,59,4,41,2,10,1,44, -   , -   , -   , -   , -   ,446,149,145,"13,277","12,744","1,829","4,758",610,481,35,273,166,265,41,202,"14,055","16,064","5,463"
2011, NOL , NEW ORLEANS LA  , -   ,20,1, -   ,13,2,1,10, -   , -   , -   , -   , -   ,35,11,15,"1,743","1,428",187,658,125,78,6,48,23,25,4,11,"1,904","1,798",742
2011, NOR , NORFOLK VA  ,2,10, -   ,6,5,9,1,13, -   , -   , -   , -   , -   ,99,10,7,"1,594","1,345",157,553,53,39,2,27,28,27,1,27,"1,682","1,700",633
2011, NYC , NEW YORK NY  ,3,908,108,128,2,17,5,15, -   , -   , -   , -   , -   ,582,203,51,"17,572","13,018","2,879","12,042",142,111,37,127,361,"2,090",221,117,"18,080","20,179","12,480"
2011, OKC , OKLAHOMA CITY OK  , -   ,7,1,6,1, -   ,2,5, -   , -   , -   , -   , -   ,62,26,10,"1,452","1,307",216,611,18,11,2,7,33,49,8,14,"1,504","1,691",653
2011, OKL , OAKLAND PARK FL ,1,70,15,19,1,5,1,7, -   , -   , -   , -   , -   ,95,57,19,"6,275","5,161","1,223","2,483","1,413","1,108",217,472,68,91,59,26,"7,758","8,102","3,026"
2011, OMA , OMAHA NE  , -   ,13, -   ,6,8,57,11,38, -   , -   , -   , -   , -   ,29,8,7,848,876,107,293,168,135,3,60,29,49,7,7,"1,053","1,295",411
2011, ORL , ORLANDO FL  , -   ,33,5,17,12,15,1,11, -   , -   , -   , -   , -   ,97,23,18,"4,662","3,922","1,123","1,874",637,532,56,194,58,107,23,14,"5,369","5,937","2,128"
2011, PHI , PHILADELPHI PA  ,1,41,9,5,5,33,15,19, -   , -   , -   , -   , -   ,113,32,82,"5,690","5,177","1,065","2,176",145,117,13,83,133,192,32,17,"5,974","6,839","2,382"
2011, PHO , PHOENIX AZ  ,2,27,5,20,7,50,20,41, -   , -   ,1, -   , -   ,138,42,38,"4,699","4,830",702,"1,956",143,139,17,47,50,149,31,43,"4,901","6,151","2,145"
2011, PIT , PITTSBURGH PA  , -   ,6, -   ,3,1,12, -   ,12, -   , -   , -   , -   , -   ,44,5,10,"1,109",908,84,404,8,7, -   ,2,42,60,7,9,"1,160","1,133",440
2011, POM , PORTLAND ME  , -   ,5,2,2, -   ,5,2,7, -   , -   , -   , -   , -   ,2,1,1,318,331,64,101,3,4, -   ,3,6,5,1,4,327,422,118
2011, POO , PORTLAND OR  , -   ,19, -   ,6,9,31,7,31, -   , -   , -   , -   , -   ,32,7,17,"1,852","1,770",152,847,78,73,3,21,102,99,8,34,"2,041","2,201",956
2011, PRO , PROVIDENCE RI  , -   ,6, -   , -   , -   ,3,4,23, -   , -   , -   , -   , -   ,2,3,7,"1,114","1,006",200,372,12,3,2,4,17,18,5,4,"1,143","1,252",410
2011, RAL , RALEIGH NC , -   ,13,3,6,1,21, -   ,4, -   , -   , -   , -   , -   ,50,15,11,"2,498","2,322",434,860,39,24,12,19,31,31,10,11,"2,569","2,935",911
2011, REN , RENO NV  , -   ,4,1,3,3, -   , -   ,1, -   , -   , -   , -   , -   ,20,3,2,579,626,73,193,12,17,1,2,8,15, -   ,8,602,760,209
2011, SAA , SANTA ANA CA , -   ,27, -   ,19,3,12,1,7, -   ,1,1, -   , -   ,432,125,85,"5,160","4,704",617,"2,391",28,17,2,8,62,111,12,29,"5,253","6,062","2,539"
2011, SAC , SACRAMENTO CA  ,1,38,12,23,3,41,5,7, -   , -   , -   , -   , -   ,98,31,10,"3,087","3,058",416,"1,243",5,4,1,6,322,327,14,83,"3,418","4,045","1,372"
2011, SAJ , SAN JUAN PR  , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,2,8,788,855,151,247,122,89,3,57,5,2,3,20,915,"1,110",332
2011, SBD , SAN BERNADINO CA ,2,58,9,15,2,3,1,1, -   , -   , -   , -   , -   ,218,60,50,"5,614","5,428",954,"2,222",40,44,8,11,40,100,19,19,"5,698","6,902","2,318"
2011, SEA , SEATTLE WA  , -   ,80,19,21,16,73,5,31, -   ,2, -   , -   , -   ,105,41,31,"4,354","3,919",360,"1,592",22,9,1,13,298,307,20,64,"4,690","4,941","1,752"
2011, SFR , SAN FRAN. CA  ,4,197,17,65,14,16,6,14, -   , -   , -   , -   , -   ,240,76,55,"7,569","6,750",831,"3,070",39,29,8,15,109,402,21,71,"7,735","8,593","3,290"
2011, SFV , SAN FERNANDO VALLEY CA , -   ,88,14,34, -   ,21,1,35, -   , -   , -   , -   , -   ,360,52,91,"6,383","5,974",915,"3,225",35,24, -   ,13,69,47,6,31,"6,487","7,502","3,429"
2011, SLC , SALT LAKE CITY UT  , -   ,13, -   ,7,3,26,7,36, -   , -   , -   , -   , -   ,70,25,11,"2,450","2,108",230,"1,046",12,7, -   ,8,28,69,10,15,"2,493","2,565","1,123"
2011, SNA , SAN ANTONIO TX  ,1,7,1,6,2,13,4,34, -   , -   , -   , -   , -   ,168,23,29,"6,127","5,936",501,"2,093",201,148,12,93,78,143,17,23,"6,409","6,973","2,278"
2011, SND , SAN DIEGO CA  , -   ,19, -   ,16, -   ,4, -   ,2, -   , -   , -   , -   , -   ,140,12,36,"2,249","2,475",200,884,13,8,1,4,31,89,1,20,"2,293","2,949",962
2011, SNJ , SAN JOSE CA  , -   ,50,10,20,10,16,1,15, -   ,2,1,1, -   ,305,64,71,"4,342","4,239",298,"1,648",7,6,1,2,62,323,12,22,"4,421","5,328","1,779"
2011, SPM , ST PAUL MN  ,1,43,11,21,32,180,71,75, -   , -   , -   , -   , -   ,66,14,36,"2,880","2,326",352,"1,110",23,20,2,7,93,122,13,17,"3,029","3,220","1,266"
2011, SPO , SPOKANE WA  , -   ,2, -   ,3, -   ,7,1,2, -   , -   , -   ,1, -   ,11,4,17,348,364,59,130,2,2,1, -   ,16,44,2,24,366,497,177
2011, STA , ST ALBANS VT  , -   ,4,2, -   , -   ,7,5,1, -   , -   , -   , -   , -   ,15,1, -   ,216,242,64,78, -   , -   ,2, -   ,4,6,1,2,220,349,81
2011, STL , ST LOUIS MO  , -   ,13,1,2,1,17,5,10, -   , -   , -   , -   , -   ,25,1,32,994,791,98,485,8,5, -   ,3,7,14,7,4,"1,010",977,536
2011, TAM , TAMPA FL  , -   ,50,6,2,4,28,4,17, -   , -   , -   , -   , -   ,99,42,146,"4,489","4,043",935,"1,533","2,457","2,211",163,637,50,185,55,23,"7,000","7,821","2,358"
2011, TUC , TUCSON AZ/SUB  , -   ,5, -   , -   ,1,15,3,21, -   , -   , -   , -   , -   ,10,1,2,"2,082","1,868",216,953,7,10,2, -   ,10,15,2, -   ,"2,100","2,147",976
2011, WAS , WASHINGTON DC  , -   ,77,20,47,7,23,13,172, -   , -   , -   , -   , -   ,567,153,73,"6,067","3,924",833,"5,490",124,105,17,36,195,142,28,247,"6,393","5,902","6,065"
2011, WIC , WICHITA KS , -   ,4, -   ,4, -   ,11,4,5, -   , -   , -   , -   , -   ,11,1,6,713,648,58,307,21,24,1,8,19,13,3,1,753,778,331
2011, WPB , WEST PALM BEACH FL ,1,20,3,5, -   ,4,2,3,5,6, -   , -   , -   ,70,21,23,"3,562","3,036",937,"1,106","1,134",919,143,265,49,53,23,20,"4,751","5,237","1,422"
2011, YAK , YAKIMA WA , -   ,7,2,3, -   ,4, -   ,1, -   , -   , -   , -   , -   ,5,4,5,518,589,52,192,7,8,1, -   ,16,41, -   ,3,541,713,204
2011 Total,,,45,"3,333",493,"1,323",533,"1,755",428,"1,536",5,23,4,5,2,"9,529","2,669","2,726","294,832","257,893","40,847","132,492","33,895","30,169","2,585","10,351","5,341","10,993","1,423","2,532","334,653","362,144","150,965"
2012, ABQ , ALBUQUERQUE NM  , -   ,2, -   ,1,2,2, -   ,8, -   , -   , -   , -   , -   ,7,2, -   ,941,859,86,376,66,40, -   ,23,20,27,2,2,"1,029","1,027",410
2012, AGA , AGANA GUAM  , -   ,4,1,1, -   , -   ,1, -   , -   , -   , -   , -   , -   ,2,5,5,935,860,106,269,5, -   , -   ,4,11,9,6, -   ,951,994,279
2012, ALB , ALBANY NY  , -   ,6, -   ,2,2,20, -   ,12, -   , -   , -   , -   , -   ,11,1, -   ,680,505,80,316,1,3,1,4,21,36,3,5,704,666,339
2012, ANC , ANCHORAGE AK  , -   ,1, -   ,1, -   ,2,1,7, -   , -   , -   , -   , -   ,3,3, -   ,433,439,36,136,5,4, -   , -   ,9,27,5, -   ,447,521,144
2012, ATL , ATLANTA GA  , -   ,72,4,13,15,61,19,11, -   , -   , -   , -   , -   ,304,52,60,"9,011","8,028","1,265","3,549",420,222,55,211,131,122,24,178,"9,577","10,228","4,022"
2012, BAL , BALTIMORE MD  , -   ,84,2,89,21,18,9,27, -   , -   , -   , -   , -   ,138,16,127,"6,077","4,766",645,"3,246",44,21,8,29,132,254,40,108,"6,274","6,001","3,626"
2012, BOI , BOISE ID  , -   ,3, -   , -   ,1,30,5,3, -   , -   , -   , -   , -   ,7,1, -   ,524,430,64,172,1,1,1, -   ,13,21,4, -   ,539,567,175
2012, BOS , BOSTON MA  ,1,59,12,1,8,23,10, -   , -   , -   , -   , -   , -   ,132,47,33,"5,838","4,780",518,"2,562",37,16,1,20,98,140,10,58,"5,982","5,748","2,674"
2012, BUF , BUFFALO NY  , -   ,16,2,1,6,79,5,35, -   , -   , -   , -   , -   ,30,6,7,992,723,95,380,202,150,6,87,40,38,6,7,"1,240","1,156",517
2012, CHA , CHARLOTTE AMALIE  , -   ,3,1,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,108,88,19,43,2, -   , -   , -   ,1,2,1,10,111,115,56
2012, CHI , CHICAGO IL  ,1,40,4,42,39,67,13,53, -   , -   , -   , -   , -   ,234,77,262,"11,268","9,823","1,339","5,323",86,50,9,53,103,392,26,31,"11,497","12,074","5,764"
2012, CHL , CHARLESTON SC  , -   ,10, -   ,11,35,11,1,13, -   , -   , -   , -   , -   ,33,7,6,"1,416","1,088",170,565,28,11,1,22,21,24,1,10,"1,500","1,357",627
2012, CHR , CHRISTIANSTED VI  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,55,55,9,17, -   , -   , -   , -   , -   , -   , -   ,1,55,64,18
2012, CHS , CHARLESTON WV , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5, -   , -   
2012, CIN , CINCINNATI OH  , -   ,11,1,5,2,7,1,2, -   , -   , -   , -   , -   ,7,11,2,748,673,98,281,3,2,1,3,13,21,5,2,766,838,295
2012, CLE , CLEVELAND OH  , -   ,23,2,2,1,29,3,10, -   , -   , -   , -   , -   ,23,16,12,"1,151",920,92,469,10,7,3,7,40,41,1,8,"1,202","1,160",508
2012, CLM , COLUMBUS OH , -   ,21,5,6,11,36,21,5, -   , -   , -   , -   , -   ,22,5,13,"1,108",906,148,400,10,9,1,4,26,25,3,7,"1,155","1,202",435
2012, CLT , CHARLOTTE NC  , -   ,28,2,4,18,34,7,18, -   , -   , -   , -   , -   ,36,10,4,"2,348","1,948",218,"1,062",118,85,6,54,33,38,6,24,"2,517","2,418","1,166"
2012, CVC , CHULA VISTA CA , -   ,15, -   ,1,4,46,8,25, -   , -   , -   , -   , -   ,27,4,17,"2,817","2,512",234,965,30,26,1,10,40,26,8,27,"2,891","2,907","1,045"
2012, DAL , DALLAS TX  , -   ,33,10,22,8,54,15,53, -   ,1, -   ,2, -   ,91,33,36,"9,219","8,024",961,"4,249",149,103,11,49,101,175,192,56,"9,477","9,703","4,467"
2012, DEN , DENVER CO  , -   ,12,3,10,27,51,4,24, -   , -   , -   , -   , -   ,49,13,24,"3,875","3,506",473,"1,593",38,37,3,20,67,125,12,49,"4,007","4,288","1,720"
2012, DET , DETROIT MI  , -   ,31,12,10,46,73,17,13, -   , -   , -   , -   , -   ,125,28,20,"3,227","2,853",319,"1,169",73,54,5,36,71,97,9,28,"3,417","3,623","1,276"
2012, DSM , DES MOINES IA , -   ,12,3,3,4,54,25,7, -   , -   , -   , -   , -   ,12,1,8,662,584,79,329,4,5,1,6,16,59,12,9,686,847,362
2012, DVD , DOVER DE AFB  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2012, ELP , EL PASO TX  , -   ,2,1, -   ,1,1, -   ,3, -   , -   , -   , -   ,1,46,3,1,"3,127","3,000",263,963,23,12,4,27,24,47,2,62,"3,176","3,381","1,056"
2012, FRE , FRESNO CA  , -   ,19,8,15,3,14,2,9, -   , -   , -   , -   , -   ,29,4,16,"2,392","2,182",248,"1,045",3, -   ,4,3,21,104,9,13,"2,419","2,623","1,101"
2012, FSA , FORT SMITH AR  , -   , -   , -   , -   , -   ,1, -   ,4, -   , -   , -   , -   , -   ,10,1,4,451,363,79,195,3,5, -   ,1,12,44,1,7,466,504,211
2012, GCU , GARDEN CITY NY , -   ,11,3, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   ,7,1, -   ,"1,732",868,90, -   ,5,4, -   , -   ,45,86,5, -   ,"1,783","1,075", -   
2012, GRR , GREER SC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2012, HAR , HARTFORD CT  , -   ,22, -   , -   , -   ,12, -   ,15, -   , -   , -   , -   , -   ,68,1,33,"3,286","2,964",297,"1,809",27,8,1,19,19,76,9,8,"3,332","3,458","1,884"
2012, HEL , HELENA MT  , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4, -   , -   ,213,184,10,63, -   , -   , -   , -   ,4,2, -   , -   ,217,201,63
2012, HHW , HONOLULU HI  , -   ,12,1,7, -   ,1, -   , -   , -   , -   , -   , -   , -   ,5,5,15,"1,474","1,404",186,539,2, -   , -   ,5,9,6,1,19,"1,485","1,621",585
2012, HIA , HIALEAH FL , -   ,27,2,7,8,29,6,6, -   , -   , -   , -   , -   ,38,13,10,"2,592","2,336",350,"1,085","8,438","6,643",397,"2,868",38,46,3,16,"11,076","9,890","3,992"
2012, HLG , HARLINGEN TX  , -   , -   , -   ,2, -   , -   , -   ,2, -   , -   , -   , -   , -   ,11,8, -   ,"3,303","3,357",402,"1,338",35,20,2,23,119,183,83,26,"3,457","4,066","1,391"
2012, HOU , HOUSTON TX  , -   ,38,4,26,32,44,2,23, -   ,1, -   , -   , -   ,180,52,104,"9,736","8,355","1,163","3,903",635,359,29,228,124,125,38,73,"10,527","10,390","4,357"
2012, IMP , IMPERIAL CA , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,472,437,14,144,1, -   , -   ,1, -   , -   ,2,3,473,453,149
2012, INP , INDIANAPOLIS IN  , -   ,16,3,8,14,23,10,7, -   ,1, -   , -   , -   ,34,4,24,"1,652","1,252",206,650,14,11,2,5,33,56,8,12,"1,713","1,626",706
2012, JAC , JACKSONV'L FL  , -   ,15,2,3,2,12,1,1, -   , -   , -   , -   , -   ,19,3,16,"1,775","1,461",216,659,235,152,5,93,27,15,4,15,"2,039","1,905",787
2012, KAN , KANSAS CITY MO  , -   ,7,2,5,38,44,10,20, -   , -   , -   , -   , -   ,47,9,12,"1,714","1,461",167,701,53,44, -   ,22,38,37,7,18,"1,843","1,835",778
2012, KND , KENDALL FL , -   ,27,9,4,22,27,18,1, -   , -   , -   , -   , -   ,28,25,11,"2,486","1,933",421,"1,182","7,936","6,826",490,"2,850",51,41,12,14,"10,495","9,857","4,062"
2012, LAC , LOS ANGELES COUNTY CA  , -   ,61,5,47,1,7, -   ,2, -   ,4, -   , -   , -   ,170,44,76,"4,761","3,567",487,"3,864",39,39,2,25,94,223,97,16,"4,895","4,706","4,030"
2012, LAW , LAWRENCE MA , -   ,14, -   ,8, -   ,60,7, -   , -   , -   , -   ,2, -   ,40,1,7,"2,287","1,823",182,909,12,7,3,12,91,87,7,87,"2,390","2,231","1,025"
2012, LNY , LONG ISLAND NY , -   ,75,5,14, -   ,5,1,16, -   , -   , -   , -   , -   ,136,78,16,"6,884","7,239",817,"3,806",33,27,3,10,117,114,56,91,"7,034","8,556","3,953"
2012, LOS , LOS ANGELES CA  , -   ,145,25,64,7,50,3,22, -   ,1, -   , -   , -   ,527,148,79,"10,715","11,606","1,637","4,229",80,90,16,18,208,672,79,85,"11,010","14,999","4,497"
2012, LOU , LOUISVILLE KY  , -   ,11, -   ,2,10,47,12,28, -   , -   , -   , -   , -   ,13, -   ,2,942,631,111,456,542,369,13,172,23,28,3,9,"1,517","1,238",669
2012, LVG , LAS VEGAS NV  ,1,31,6,1,4,31,2,1, -   , -   , -   , -   , -   ,34,6,77,"3,076","2,748",391,"1,780",543,419,31,268,13,84,11,16,"3,637","3,794","2,143"
2012, MAN , MANCHESTER NH  , -   ,5,1,4,7,14,5,2, -   , -   , -   , -   , -   ,10,2,7,553,385,43,232,3,6, -   ,4,7,19, -   ,4,570,490,253
2012, MEM , MEMPHIS TN  , -   ,42,5,10,8,46,15,19, -   , -   , -   , -   , -   ,67,6,44,"2,489","1,942",273,922,73,31,17,36,32,38,3,65,"2,602","2,485","1,096"
2012, MIA , MIAMI FL  , -   ,43,10,10,12,30,4,6, -   , -   , -   , -   , -   ,51,7,9,"3,950","3,268",507,"2,044","5,713","3,768",431,"1,886",48,60,13,35,"9,723","8,192","3,990"
2012, MIL , MILWAUKEE WI  ,5,6,7,8,35,31,6,12, -   , -   , -   , -   , -   ,28,5,57,"1,405","1,127",127,529,25,21, -   ,7,15,34,12,3,"1,485","1,404",616
2012, MTL , MOUNT LAUREL NJ , -   ,8,2,3,2,13,16,10, -   , -   , -   , -   , -   ,86,36,1,"2,425","2,009",353,985,11,1, -   ,7,30,68,13,4,"2,468","2,605","1,010"
2012, NEW , NEWARK NJ  , -   ,51,9,17,10,10,2,9, -   , -   , -   , -   , -   ,358,135,110,"11,882","10,279","1,756","4,599",609,463,49,259,115,335,55,233,"12,616","13,502","5,227"
2012, NOL , NEW ORLEANS LA  ,1,11,1,1,11,3, -   ,11, -   , -   , -   , -   , -   ,19,1,15,"1,748","1,422",128,677,119,67,4,59,37,38,3,6,"1,916","1,697",769
2012, NOR , NORFOLK VA  , -   ,16,1,2,4,25,1,3, -   , -   , -   , -   , -   ,54,7,14,"1,629","1,521",159,626,34,42,3,26,19,19,6,36,"1,686","1,854",707
2012, NYC , NEW YORK NY  ,2,935,132,41,8,31,10,9, -   , -   , -   , -   ,1,402,139,41,"18,680","19,350","3,044","10,385",110,86,42,58,452,"2,957",402,88,"19,253","27,530","10,622"
2012, OKC , OKLAHOMA CITY OK  , -   ,6,2,2, -   ,5,1,3, -   , -   , -   , -   , -   ,41,8,5,"1,496","1,321",174,610,43,12,1,18,19,58,42,22,"1,558","1,671",660
2012, OKL , OAKLAND PARK FL ,1,57,10,15,3,4,2,6, -   , -   , -   , -   , -   ,72,35,29,"5,688","4,553",901,"2,484","1,330",953,154,519,46,88,87,56,"7,068","6,916","3,109"
2012, OMA , OMAHA NE  , -   ,8, -   ,5,11,50,32,30, -   , -   , -   , -   , -   ,20,4,11,839,653,101,282,179,134,2,84,39,64,7,6,"1,068","1,075",418
2012, ORL , ORLANDO FL  , -   ,54,10,19, -   ,11,3,4, -   , -   , -   , -   , -   ,55,29,6,"4,167","3,619",697,"1,890",645,457,30,263,49,199,17,34,"4,861","5,181","2,216"
2012, PHI , PHILADELPHI PA  , -   ,19,8,9,22,86,18,16, -   , -   , -   , -   , -   ,74,56,56,"5,417","4,410",713,"2,113",153,131,4,76,71,91,23,14,"5,663","5,633","2,284"
2012, PHO , PHOENIX AZ  , -   ,19,6,8,5,59,38,19, -   , -   , -   , -   , -   ,80,15,35,"4,207","4,060",471,"1,714",185,129,15,61,49,155,23,23,"4,446","5,070","1,860"
2012, PIT , PITTSBURGH PA  , -   ,9, -   , -   ,4,22,8,10, -   , -   , -   , -   , -   ,16,4,21,"1,115",826,94,436,9,7, -   ,5,22,30,3,7,"1,150","1,019",479
2012, POM , PORTLAND ME  , -   ,6, -   ,1,6,13,4,8, -   , -   , -   , -   , -   , -   , -   ,2,324,225,21,122,2,4,1, -   ,25,16,10,1,357,300,134
2012, POO , PORTLAND OR  , -   ,17,1,2,6,49,6,8, -   , -   , -   , -   , -   ,41,4,15,"2,073","1,921",188,918,89,71, -   ,42,118,105,11,52,"2,286","2,414","1,037"
2012, PRO , PROVIDENCE RI  , -   ,10,2, -   , -   ,25,3, -   , -   , -   , -   , -   , -   ,9, -   ,9,"1,006",793,146,461,4,3,6,4,8,6,1,7,"1,018","1,004",481
2012, QNS , QUEENS NY , -   ,117,17,27, -   ,5,1,9, -   , -   , -   , -   , -   ,114,40,39,"5,522","4,809",645,"3,497",27,19,5,16,66,128,32,88,"5,615","5,932","3,676"
2012, RAL , RALEIGH NC , -   ,6,1,2, -   ,11,4,2, -   , -   , -   , -   , -   ,33,11,8,"2,252","1,956",325,845,61,26,2,39,19,16,3,19,"2,332","2,394",915
2012, REN , RENO NV  , -   ,7, -   ,2,5, -   ,1, -   , -   , -   , -   , -   , -   ,9,2,4,493,439,84,191,7,2,2,4,5,17,3,6,510,566,207
2012, SAA , SANTA ANA CA , -   ,31,3,5,2,13,1,13, -   ,2, -   , -   , -   ,273,66,59,"5,090","4,735",539,"2,138",20,14, -   ,17,62,122,18,13,"5,174","5,817","2,245"
2012, SAC , SACRAMENTO CA  , -   ,42,7,6,3,28,7,2, -   ,5, -   , -   , -   ,25,11,18,"3,041","2,778",274,"1,146",8,4,3,5,164,170,7,64,"3,216","3,361","1,241"
