 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,,"81,147","71,601","7,153","199,422","33,828","24,836","1,422","125,161","37,343","34,316","1,190","87,951","7,956","5,924",868,"23,803","160,274","136,677","10,633","436,337"
,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC ,138,100,17,338, -   , D , -   , D , -   ,10, -   ,15, D , D , -   , D ,140,112,17,360
 Arizona ,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ,"1,330","1,833",94,"3,126", -   ,15, D ,26,88,421, D ,263,13,11, D ,47,"1,431","2,280",104,"3,462"
, Tucson , TUC ,398,649,63,845, -   , D , D ,11, D ,441, D ,153, D , D , D , D ,406,"1,094",69,"1,014"
 Arkansas ,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA ,197,192,10,329, -   , D , -   , D , -   ,37, D ,17,12,10, D ,23,209,243,12,373
 California ,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC ,789,514,57,"1,707", -   , D , -   ,11,19, D , -   ,48, D , D , D , D ,809,532,58,"1,773"
, Fresno  , FRE ,867,654,74,"1,687", -   ,14, -   , D , D , D , D ,14, D , D , -   , D ,871,676,76,"1,707"
