"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"January 1 - March 31, 2014",,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"65,479","62,080","8,033","154,341","29,639","30,651","1,611","119,178","39,586","35,199","1,334","76,603","6,591","6,051",953,"15,759","141,295","133,981","11,931","365,881"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,,,,,,,,,,,,,,,,,,,
, Louisville  ,242,231,23,381, -   , D , D , D ,253,156, D ,279, D , D , -   ,35,499,393,34,698
 Louisiana ,,,,,,,,,,,,,,,,,,,,,
, New Orleans  ,431,494,41,"1,047", -   , D , D , D ,43,24, D ,212, D ,16, D , D ,477,539,49,"1,274"
 Maine ,,,,,,,,,,,,,,,,,,,,,
, Portland  ,86,228,10,150, -   , D , -   , -   , D , D , -   ,14, -   , D , D , D ,91,243,12,165
 Maryland ,,,,,,,,,,,,,,,,,,,,,
, Baltimore  ,"1,452","1,607",189,"3,488", -   , D , D ,100,13, D , D ,118,31,17,14,126,"1,496","1,632",210,"3,832"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,
, Boston  ,"1,268",989,176,"2,912", -   ,32, D ,48, D ,24, D ,59,32,45, D ,93,"1,307","1,090",190,"3,112"
, Lawrence ,509,490,85,"1,101", -   ,10, D , D , D , D , D ,37, D ,27, D , D ,523,533,94,"1,145"
 Michigan ,,,,,,,,,,,,,,,,,,,,,
, Detroit  ,838,795,92,"1,330", -   ,26, D ,36,43,18,10,96,20,14, D ,69,901,853,105,"1,531"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,
, St. Paul  ,754,666,83,"1,657", -   ,13, D ,22,39,38,14,104,16,32, -   ,49,809,749,98,"1,832"
 Missouri ,,,,,,,,,,,,,,,,,,,,,
, Kansas City  ,386,419,54,683, -   , D , D ,12,46,27, D ,77, D ,10, D ,11,436,462,58,783
, St. Louis  ,242,210,19,601, -   , D , D ,33, D , D , D ,19, -   , -   , -   , D ,247,223,21,659
 Montana ,,,,,,,,,,,,,,,,,,,,,
, Helena  ,48,180,12,108, -   , D , -   , -   , -   , D , -   , D , D , D , -   , D ,49,189,12,113
 Nebraska ,,,,,,,,,,,,,,,,,,,,,
, Omaha  ,208,295,26,288, -   , D , -   , -   ,99,53,15,275, D , D , D ,21,312,361,43,584
 Nevada ,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  ,777,761,63,"1,381", -   , D , D ,24,259,135, D ,622, D ,30, D , D ,"1,037",931,74,"2,034"
, Reno  ,115,112,20,186, -   , -   , -   , -   , -   , -   , -   , D , -   , D , -   , D ,115,117,20,196
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,
, Manchester  ,126,118,11,227, -   , D , D , D , D , D , D , D , D , D , -   , D ,129,128,14,242
 New Jersey ,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel ,535,549,107,"1,063", -   ,18, D ,50,12,14, D ,26, D ,13, D ,30,553,594,118,"1,169"
, Newark  ,"2,555","2,680",387,"5,957", -   ,80,24,155,178,112, D ,563,17,88,36,156,"2,750","2,960",455,"6,831"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  ,200,223,48,396, -   , D , D , D ,35,30, D ,65, D ,15, D , D ,240,270,51,471
 New York ,,,,,,,,,,,,,,,,,,,,,
, Albany  ,148,118,11,347, -   , -   , -   , D , D , D , -   ,20, D , D , -   ,27,153,125,11,397
, Buffalo  ,254,267,28,469, -   , D , D , D ,74,76, D ,181, D ,19, -   , D ,330,363,32,656
