,,,,,,,,,"Number of form I-485, Applications to Register Permanent Residence or Adjust Status, by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"89,229","65,959","8,960","292,086","30,897","27,948","1,855","138,347","46,119","33,524","1,061","113,278","9,870","6,642",846,"28,254","176,403","134,402","13,201","572,129",,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Field Office Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ,"1,692","1,681",192,"5,269",0,83,18,128,41,44,D,196,30,161,22,195,"1,763","1,969",239,"5,788",,,,,,,,,,,,,,,,,,,,,,,,
 Florida ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA ,811,576,95,"2,430",0,13,D,60,"3,949","1,195",87,"9,067",D,16,D,27,"4,767","1,800",189,"11,584",,,,,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC ,751,427,60,"1,757",0,D,D,27,230,210,D,623,D,D,D,10,982,648,70,"2,417",,,,,,,,,,,,,,,,,,,,,,,,
, Kendall , KND ,680,363,76,"2,310",0,10,D,D,"3,949",743,87,"9,346",D,20,D,D,"4,630","1,136",174,"11,671",,,,,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ,"1,356",546,117,"5,063",0,33,D,44,"2,576",743,77,"6,268",D,32,D,22,"3,939","1,354",199,"11,397",,,,,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM ,489,255,51,"1,583",0,D,D,D,738,242,D,"1,932",0,D,D,15,"1,227",508,55,"3,531",,,,,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ,"1,763","1,037",274,"6,242",0,18,D,56,383,177,16,"1,260",10,21,D,33,"2,156","1,253",297,"7,591",,,,,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ,"1,505",865,185,"5,088",0,D,D,28,496,662,18,"1,125",D,28,D,22,"2,009","1,562",206,"6,263",,,,,,,,,,,,,,,,,,,,,,,,
, Tampa  , TAM ,"1,126","1,229",178,"3,049",0,D,D,22,"1,676",500,29,"4,098",D,20,D,45,"2,808","1,758",212,"7,214",,,,,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , WPB ,"1,060",472,162,"2,966",0,D,D,13,757,641,17,"1,481",D,32,D,56,"1,819","1,153",185,"4,516",,,,,,,,,,,,,,,,,,,,,,,,
 Georgia ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
