 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
, Imperial , IMP ,119,318, D ,264, -   , -   , -   , -   , -   ,100, -   ,19, -   , D , -   , -   ,119,419, D ,283
, Los Angeles  , LOS ,"2,183","3,100",273,"5,317", -   ,43, D ,222,21,835,22,871,41,123, D ,140,"2,245","4,101",309,"6,550"
, Los Angeles County  , LAC ,"2,230","1,975",222,"4,739", -   ,17, D ,108,20,225, D ,108,28,121,14,15,"2,278","2,338",246,"4,970"
, Sacramento  , SAC ,878,"1,885",97,"2,195", -   , D , -   ,16,13,690,29,546, D , D , -   , D ,895,"2,591",126,"2,766"
, San Bernardino , SBD ,"1,732","2,222",228,"2,989", -   ,30, D ,57, D ,73, D ,121, D ,36, D , D ,"1,744","2,361",243,"3,172"
, San Diego  , SND ,636,419,32,"1,332", -   , D , -   ,25, D ,16, -   ,25, D ,12, D , D ,644,455,33,"1,387"
, San Fernando Valley , SFV ,"1,409","1,357",156,"3,418", -   ,16, D ,64, D ,340, D ,207,17,45, D ,29,"1,433","1,758",169,"3,718"
, San Francisco , SFR ,"2,017","2,363",96,"4,800", -   ,29, D ,160,18,686, D ,271,39,53, D ,166,"2,074","3,131",109,"5,397"
, San Jose  , SNJ ,"1,303","1,234",79,"2,919", -   ,41, D ,167,12,402, D ,186,16,18, -   ,56,"1,331","1,695",87,"3,328"
, Santa Ana , SAA ,"1,512",944,95,"4,572", -   ,45, D ,184,14, D , -   ,199, D ,24, D ,11,"1,533","1,021",101,"4,966"
 Colorado ,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ,"1,132",404,102,"4,295", -   ,15, D ,35,40, D , D ,108,18,17, D ,105,"1,190",443,114,"4,543"
 Connecticut ,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR ,774,300,162,"2,344", -   ,13, -   ,72, D , D , D ,32, D ,21, D , D ,784,337,165,"2,455"
Delaware,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ,"1,451","1,215",140,"4,254", -   ,38,17,199,14,241,15,590,71,138,19,162,"1,536","1,632",191,"5,205"
 Florida ,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA ,711,"1,262",98,"1,579", -   ,10, -   , D ,"2,838",850,74,"4,804", D , D , -   , D ,"3,556","2,125",172,"6,393"
, Jacksonville , JAC ,559,452,52,"1,113", -   , D , -   ,22,98,114, D ,229, D , D , D ,18,660,575,61,"1,382"
, Kendall , KND ,605,961,74,"1,310", -   , D , D ,17,"2,869",806,74,"4,669",17,14, D ,20,"3,491","1,786",153,"6,016"
, Miami  , MIA ,"1,177",834,93,"3,565", -   ,11, -   ,29,"1,844",395,63,"3,584",19,23, -   ,12,"3,040","1,263",156,"7,190"
, Oakland Park , OKL ,"1,501","2,002",201,"3,094", -   ,16,11,20,451,493,34,968,12,37,10, D ,"1,964","2,548",256,"4,085"
, Orlando  , ORL ,"1,221","1,277",188,"2,462", -   , D , D , D ,285,223, D ,629, D ,27, D ,25,"1,513","1,536",195,"3,118"
, Tampa  , TAM ,"1,141","1,181",197,"2,704", -   ,12, D , D ,"1,194",365,26,"2,328",22,24, D , D ,"2,357","1,582",236,"5,048"
, West Palm Beach , WPB ,864,"1,051",119,"1,800", -   ,15, D , D ,472,272, D ,952,30,57, D ,13,"1,366","1,395",135,"2,767"
 Georgia ,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  , ATL ,"2,433","2,158",207,"4,494", -   ,46, D ,121,85,457,15,500,52,108, D ,10,"2,570","2,769",232,"5,125"
 Hawaii ,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , HHW ,414,456,59,647, -   , -   , -   , D , D , -   , -   ,11, D ,11, -   , D ,419,467,59,668
 Idaho ,,,,,,,,,,,,,,,,,,,,,,
, Boise  , BOI ,155,713,21,517, -   , D , -   , D , -   ,509, D ,82, -   , D , -   , D ,155,"1,227",25,607
 Illinois ,,,,,,,,,,,,,,,,,,,,,,
, Chicago  , CHI ,"3,184","2,662",193,"9,179", -   ,40, D ,217,27,147, D ,176,36,47, D ,89,"3,247","2,896",210,"9,661"
 Indiana ,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , INP ,504,495,43,971, -   , -   , -   ,12,40,58, D ,63,10,25, -   ,28,554,578,44,"1,074"
 Iowa ,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , DSM ,193,159,31,467, -   , D , D , D ,14, D , D ,43, D ,16, -   ,16,213,190,35,531
 Kansas ,,,,,,,,,,,,,,,,,,,,,,
, Wichita , WIC ,177,160,14,416, -   , D , -   , D ,24,26, D ,63, D , D , -   , D ,204,189,15,492
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , LOU ,275,242,37,557, -   , D , D ,13,213,38, D ,421, D ,11, D , D ,495,299,41,998
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , NOL ,539,586,59,946, -   , D , -   ,12,35,137, D ,104,35,28, D ,48,609,758,70,"1,110"
 Maine ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POM ,82,534, D ,237, -   , D , -   , D ,23,295, D ,87, -   , D , -   , D ,105,831, D ,328
 Maryland ,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  , BAL ,"1,652","1,364",116,"4,849", -   ,24, D ,70,24,162, D ,267,64,60, D ,111,"1,740","1,610",129,"5,297"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,
, Boston  , BOS ,"1,646",857,80,"4,251", -   ,17, D ,88, D ,271, -   ,183,26,75, D ,127,"1,681","1,220",87,"4,649"
, Lawrence , LAW ,574,359,33,"1,649", -   , D , -   ,28,23,51, D ,122, D ,15, D , D ,604,432,39,"1,800"
 Michigan ,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , DET ,985,408,69,"2,814", -   , D , D ,63,39,141, D ,174, D , D , D ,25,"1,032",562,77,"3,076"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ,864,694,73,"1,860", -   , D , D ,37,45,18, D ,139,18,18, D ,53,927,739,84,"2,089"
 Missouri ,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN ,441,882,42,795, -   , D , D ,32,37,211, D ,105,10,11, D , D ,488,"1,108",52,938
, St. Louis  , STL ,255,231,20,735, -   , D , D ,20,17,67, D ,69, D ,39, D , D ,281,338,37,829
 Montana ,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL ,78,212,16,183, -   , -   , -   , D , -   ,153, D ,28, -   , D , -   , D ,78,366,22,219
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA ,262,680,86,536, -   ,23, D , D ,84,255, D ,316,11,29, D ,50,357,987,98,905
 Nevada ,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ,936,860,84,"2,915", -   , D , D ,17,286,308,16,"1,179", D ,34, D ,33,"1,228","1,210",108,"4,144"
, Reno  , REN ,133,308,30,477, -   , -   , -   , D , D ,108, -   ,108, D , D , -   , D ,140,421,30,592
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN ,145,448, D ,439, -   , D , -   , D , D ,160, D ,106, D , D , -   , D ,151,613, D ,547
New Jersey,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL ,628,"2,008",105,"1,248", -   , D ,12,83, D ,506, D ,389, D , D , D ,45,639,"2,531",125,"1,765"
, Newark  , NEW ,"2,807","2,421",279,"7,045", -   ,49,11,205,145,997,30,982,32,61, D ,143,"2,984","3,528",329,"8,375"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ ,262,468,11,457, -   , D , -   , D ,22,205, D ,67, D , D , -   , -   ,285,685,14,528
 New York ,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB ,186,99, D ,456, -   , D , -   , D , -   , -   , -   ,23, -   , D , -   ,10,186,106, D ,494
, Buffalo  , BUF ,270,628,50,904, -   , D , D ,18,85,397,24,301, D ,12, -   , D ,362,"1,045",77,"1,231"
, Long Island , LNY ,"2,032",854,130,"6,483", -   ,31, D ,133, D ,148, D ,142,96,132,26,47,"2,133","1,165",165,"6,805"
, New York  , NYC ,"5,225","4,259",657,"15,364", -   ,101,33,154,48,820,24,869,144,526,84,298,"5,417","5,706",798,"16,685"
, Queens , QNS ,"1,807",131,99,"5,515", -   ,16, D ,197,21,15, D ,460,35,13, D ,373,"1,863",175,116,"6,545"
 North Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT ,680,643,65,"1,187", -   ,12, -   ,13,45,121, D ,129, D ,13, D ,11,734,789,74,"1,340"
, Raleigh , RAL ,695,976,100,"1,050", -   , D , -   ,19,30,229,13,65,14,45, D ,25,739,"1,258",115,"1,159"
 Ohio ,,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN ,252,214,27,533, -   , D , -   ,11, D ,16, D ,24, D , D , D , D ,263,239,32,575
, Cleveland  , CLE ,348,342,35,603, -   , D , D , D ,10,16, D ,28, -   , D , D ,11,358,371,41,647
, Columbus , CLM ,347,400,65,594, -   , D , -   , D ,10,35, D ,30, D ,11, D ,18,365,455,72,646
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  , OKC ,420,292,26,"1,409", -   , D , -   ,15,10,27, D ,74, D ,15, -   , D ,432,343,27,"1,504"
 Oregon ,,,,,,,,,,,,,,,,,,,,,,
, Portland  , POO ,604,636,53,"1,640", -   , D , -   ,53,41,17, D ,123, D ,38, D , -   ,647,700,57,"1,816"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,,
, Philadelphia , PHI ,"1,454","1,894",225,"3,011", -   ,10, D ,34,58,604,26,545,23,22, D ,16,"1,535","2,530",260,"3,606"
, Pittsburgh  , PIT ,273,250,10,"1,168", -   , -   , -   ,16,11,91, -   ,190, D , D , -   ,21,292,343,10,"1,395"
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,,
, Providence  , PRO ,202,789,25,504, -   , D , -   , D , D ,390, -   ,133, D , D , -   , D ,207,"1,188",25,644
 South Carolina ,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHL ,404,319,37,934, -   , D , -   , D ,11,89, -   ,129, D ,12, D , D ,420,421,38,"1,069"
 Tennessee ,,,,,,,,,,,,,,,,,,,,,,
, Memphis  , MEM ,742,826,37,"1,305", -   , D , -   ,27,52,153, D ,129,35,64, -   ,29,829,"1,052",41,"1,490"
 Texas ,,,,,,,,,,,,,,,,,,,,,,
, Dallas  , DAL ,"2,703","2,051",251,"9,716", -   ,38,10,117,123,673,10,600,35,128, D ,408,"2,861","2,890",275,"10,841"
, El Paso  , ELP ,704,901,65,"1,678", -   , -   , -   ,10,47,132, -   ,233, D , D , -   ,21,759,"1,041",65,"1,942"
, Harlingen  , HLG ,797,"1,120",80,"1,737", -   , -   , -   , D ,25,344, D ,140,31,25, D ,79,853,"1,489",89,"1,957"
, Houston  , HOU ,"3,094","1,960",324,"7,317", -   ,29,11,175,679,331,22,"1,337",42,55, D ,139,"3,815","2,375",364,"8,968"
, San Antonio  , SNA ,"1,661","1,556",95,"3,613", -   ,19, D ,55,168,20, D ,419,32,163,28,26,"1,861","1,758",129,"4,113"
 Utah ,,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  , SLC ,672,823,54,"1,364", -   ,10, -   , D , D ,250, D ,134, D , D , -   ,28,679,"1,084",59,"1,532"
 Vermont ,,,,,,,,,,,,,,,,,,,,,,
, St. Albans  , STA ,44,75, D ,116, -   , D , -   , D , -   , -   , -   , D , D , -   , -   , -   ,45,76, D ,127
 Virginia ,,,,,,,,,,,,,,,,,,,,,,
, Norfolk  , NOR ,510,517,40,"1,233", -   , D , D ,30,16,136, D ,107,18,31, D ,41,544,690,54,"1,411"
 Washington ,,,,,,,,,,,,,,,,,,,,,,
, Seattle  , SEA ,"1,255",828,91,"3,668", -   ,20, D ,108,19,11,10,107, D ,25, D ,28,"1,281",884,109,"3,911"
, Spokane  , SPO ,84,114,19,247, -   , D , -   , D , D ,12, D ,20, -   , D , D , D ,86,128,21,275
, Yakima , YAK ,185,368,20,367, -   , D , D , D ,12,53, -   ,35, -   , D , D , D ,197,426,24,407
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  , MIL ,390,393,36,853, -   , D , -   ,36, D ,33, D ,22, D ,13, D , D ,404,443,40,919
 Guam ,,,,,,,,,,,,,,,,,,,,,,
, Hagatna , AGA ,109,230,16,442, -   , -   , -   , D , -   ,77, D ,68, D , D , -   , -   ,111,309,18,519
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie , CHA ,21,142, D ,43, -   , D , D , -   , D , D , -   ,10, -   , -   , -   , D ,23,151, D ,54
, Christiansted  , CHR , D , D , D ,66, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , D , D , D ,66
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,,
, San Juan  , SAJ ,183,285,32,372, -   , -   , -   , -   ,15,25, -   ,96, D , D , D ,17,201,315,33,485
,,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,,
, California , WSC , -   , D , D ,379,"1,002",192,17,"1,512", -   , -   , -   ,14, -   , -   , -   , -   ,"1,002",193,21,"1,905"
, Nebraska , NSC , -   , -   , -   , -   ,"16,262","14,008",827,"46,944","21,607","19,943",457,"40,019", -   , -   , -   , -   ,"37,869","33,951","1,284","86,963"
, Texas , SSC , -   , -   , -   , -   ,"14,437","16,107",927,"64,661","5,344","4,734",169,"14,771", D , D ,31,44,"19,786","20,849","1,127","79,476"
, Vermont , ESC ,20, D , D ,152, D , -   , -   ,26, D , D , D ,11,"6,820","4,450",500,"15,216","6,848","4,459",506,"15,405"
,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"76,625","75,467","7,564","194,046","31,708","31,352","1,988","116,941","40,056","42,962","1,372","89,257","8,177","7,329",876,"18,663","156,566","157,110","11,800","418,907"
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,,
"   others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awaiting a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), September 2015",,,,,,,,,,,,,,,,,,,,,,
