 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"71,816","62,827","8,427","165,913","33,125","39,138","1,722","115,089","36,543","29,603","1,218","89,110","6,858","6,509",860,"16,484","148,342","138,077","12,227","386,596"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
, Louisville  ,257,276,31,534, -   , D , D , D ,173,194,14,352, D ,13, D , D ,433,486,49,899
 Louisiana ,,,,,,,,,,,,,,,,,,,,,
, New Orleans  ,479,411,52,955, -   , D , D , -   ,53,42, D ,167, D ,13, -   , -   ,538,473,58,"1,122"
 Maine ,,,,,,,,,,,,,,,,,,,,,
, Portland  ,92,80, D ,152, -   , -   , -   , -   , D , D , -   ,10, D , D , -   , D ,100,87, D ,167
 Maryland ,,,,,,,,,,,,,,,,,,,,,
, Baltimore  ,"1,550","1,635",193,"4,146", -   ,42,10,44,17,85,11,122,37,94, D ,104,"1,604","1,856",222,"4,416"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,
, Boston  ,"1,492","1,298",129,"2,853", -   ,16, D ,71,10,59, D ,104,16,82, D ,70,"1,518","1,455",142,"3,098"
, Lawrence ,547,310,46,"1,487", -   , D , -   , D ,13, D , D ,47,10,31, D , D ,570,359,51,"1,543"
 Michigan ,,,,,,,,,,,,,,,,,,,,,
, Detroit  ,939,728,69,"1,720", -   ,42, -   ,16,35,12, D ,170,19,46, -   ,18,993,828,75,"1,924"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,
, St. Paul  ,889,453,89,"1,961", -   , D , D ,19,25,29,17,83, D ,55, D ,12,923,543,115,"2,075"
 Missouri ,,,,,,,,,,,,,,,,,,,,,
, Kansas City  ,432,235,31,865, -   , D , -   , D ,39,13, D ,87, D ,12, D , D ,475,266,36,961
