,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,," 94,564 "," 67,126 "," 8,454 "," 273,625 "," 43,407 "," 33,256 "," 1,529 "," 138,219 "," 48,065 "," 32,437 "," 1,210 "," 103,081 "," 9,983 "," 6,452 "," 1,090 "," 25,530 "," 196,019 "," 139,271 "," 12,283 "," 540,455 ",,,,,,,,,,,,,,,,,,,,,
,,," (94,556)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 125 , 105 , D , 329 , - , D , - , - , D , D , - , 10 , - , D , - , D , 126 , 117 , D , 344 ,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,437 "," 1,189 ", 115 ," 3,634 ", - , 16 , - , 27 , 196 , 19 , D , 356 , 12 , 11 , D , 48 ," 1,645 "," 1,235 ", 119 ," 4,065 ",,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 459 , 536 , 39 ," 1,442 ", - , - , - , D , 10 , 503 , D , 47 , D , - , - , D , 470 ," 1,039 ", 43 ," 1,498 ",,,,,,,,,,,,,,,,,,,,,
